,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
9,,Cervix,-,-,-,-,-,1.0,0.3,0.9,0.9,3.1,4.9,7.5,5.4,8.5,7.6,15.2,22.2,18.7,,,10,0.2,3.5,1.9
10,,Nasopharynx,-,-,-,-,0.4,-,-,-,0.9,3.7,3.3,4.6,7.2,1.9,5.9,10.4,3.9,6.7,,,11,0.1,2.1,1.3
11,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,0.3,0.3,1.7,3.0,4.7,10.1,16.1,23.5,26.7,,,12,0.1,2.3,1.0
12,,Corpus uteri,-,-,-,-,-,-,-,0.3,0.3,0.6,1.6,6.3,3.0,5.7,3.4,9.5,10.4,6.7,,,13,0.1,1.7,0.9
13,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,0.3,0.3,0.6,0.6,0.3,1.3,3.0,3.8,7.6,13.3,15.7,26.7,,,14,0.1,2.0,0.9
14,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,0.3,0.6,0.3,1.0,2.1,3.0,3.8,6.8,5.7,17.0,21.3,,,15,0.1,1.7,0.8
15,,Bone and soft tissue,-,-,-,1.0,0.8,0.3,0.3,0.6,1.8,0.3,-,3.8,0.6,2.8,4.2,6.6,5.2,2.7,,,16,0.1,1.2,0.8
16,,"Uterus, unspecified",-,-,-,-,-,-,0.3,-,-,1.7,2.3,3.3,2.4,3.8,4.2,3.8,5.2,6.7,,,17,0.1,1.3,0.8
17,,Oesophagus,-,-,-,-,-,-,-,-,-,-,0.7,1.3,1.2,4.7,5.1,11.4,13.1,25.3,,,18,0.1,1.6,0.7
18,,Bladder,-,-,-,-,-,-,-,-,-,0.6,0.7,-,1.8,4.7,5.1,11.4,13.1,20.0,,,19,0.1,1.5,0.7
19,,Brain and other central nervous system,-,-,-,1.0,0.4,-,0.6,0.6,0.3,1.1,1.6,0.8,1.2,1.9,3.4,3.8,6.5,4.0,,,20,0.1,1.1,0.7
20,,Multiple myeloma,-,-,-,-,-,-,-,-,-,0.3,0.7,1.3,1.2,4.7,7.6,4.7,11.7,17.3,,,21,0.1,1.3,0.6
21,,Melanoma of skin,-,-,-,-,-,-,-,-,0.3,1.4,0.3,0.8,0.6,0.9,1.7,6.6,1.3,4.0,,,22,0.0,0.7,0.3
22,,Thyroid gland,-,-,-,-,-,-,-,-,-,-,0.7,-,-,3.8,3.4,3.8,10.4,5.3,,,23,0.0,0.7,0.3
23,,"Vagina, vulva and other female genital",-,-,-,-,0.4,-,-,0.3,0.3,0.6,-,0.4,0.6,-,3.4,0.9,5.2,5.3,,,24,0.0,0.5,0.3
24,,Non-melanoma skin,-,0.8,-,0.5,-,-,-,-,-,-,0.3,-,-,0.9,0.8,-,2.6,4.0,,,25,0.0,0.3,0.2
25,,Other endocrine glands,0.9,-,-,-,-,-,-,-,-,-,1.0,0.4,-,-,-,0.9,-,-,,,26,0.0,0.2,0.2
26,,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,0.6,0.3,0.7,0.4,0.6,0.9,-,2.8,-,-,,,27,0.0,0.3,0.2
27,,Small intestine,-,-,-,-,-,-,-,-,-,0.3,0.3,0.4,1.2,-,0.8,2.8,1.3,4.0,,,28,0.0,0.4,0.2
28,,Mesothelioma,-,-,-,-,-,-,-,0.3,-,-,0.3,-,-,0.9,0.8,0.9,-,-,,,29,0.0,0.1,0.1
29,,Hodgkin lymphoma,-,-,-,-,-,0.7,-,-,-,-,-,-,-,-,-,1.9,-,-,,,30,0.0,0.1,0.1
30,,Larynx,-,-,-,-,-,-,-,0.3,-,-,0.3,-,-,-,-,-,3.9,1.3,,,31,0.0,0.2,0.1
31,,Eye,-,-,-,-,-,-,-,-,-,-,-,-,0.6,-,-,-,-,-,,,32,0.0,0.0,0.0
32,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,1.3,,,33,0.0,0.1,0.0
33,,Placenta,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-,,,34,0.0,0.0,0.0
34,,Other and unspecified,-,-,-,0.5,0.4,-,0.6,2.7,4.2,4.8,9.1,12.1,12.1,24.7,42.2,62.6,105.7,128.0,,,-,0.6,11.9,5.6
35,,All sites,3.7,1.6,0.5,3.8,5.5,6.0,10.0,22.9,43.4,72.2,130.3,173.6,213.5,334.3,489.9,705.2,985.6,"1,337.3",,,-,7.6,139.8,71.3
