,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
20,21,Brain and other central nervous system,-,1,-,-,2,4,1,-,1,4,4,2,6,9,4,-,3,5,-,46,0.8,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,1,6,3,7,2,6,3,1,6,9,-,44,0.7,,,,
22,23,Thyroid gland,-,-,-,-,-,-,-,2,-,-,3,1,5,1,1,5,5,12,-,35,0.6,,,,
23,24,Melanoma of skin,-,-,-,-,-,-,-,1,2,2,1,1,4,2,1,1,2,5,-,22,0.4,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,1,-,-,2,1,3,1,3,1,6,-,18,0.3,,,,
25,26,Thymus / other thoracic organs,-,-,-,-,1,-,1,-,-,-,2,-,2,-,3,1,-,-,-,10,0.2,,,,
26,26,Non-melanoma skin,-,-,-,-,-,-,-,1,-,-,2,-,-,-,1,2,2,2,-,10,0.2,,,,
27,28,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,2,-,-,1,-,1,2,1,1,-,8,0.1,,,,
28,29,Larynx,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,-,1,-,5,0.1,,,,
29,29,Other endocrine glands,-,1,-,-,-,1,-,-,-,-,1,-,-,-,2,-,-,-,-,5,0.1,,,,
30,31,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,3,0.1,,,,
31,32,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,0.0,,,,
32,-,Other and unspecified,-,-,-,-,2,1,-,6,5,18,16,23,29,31,26,42,53,126,-,378,6.4,,,,
33,-,All sites,-,4,2,4,13,15,28,63,103,246,413,513,572,637,501,576,814,"1,361",2,"5,867",100.0,,,,
0,,Lung,-,-,-,-,-,0.7,0.6,1.7,4.1,11.1,22.1,32.4,47.5,75.5,87.4,138.2,226.4,256.9,,,,1,1.4,32.4,13.2
1,,Breast,-,-,-,-,-,0.4,1.8,4.5,8.3,22.1,34.5,33.7,37.4,33.4,30.5,45.4,45.7,59.2,,,,2,1.0,18.0,9.4
2,,Colorectum,-,-,-,-,0.5,-,0.9,2.3,1.2,4.5,11.0,18.5,29.2,44.9,60.1,84.8,138.2,228.5,,,,3,0.9,21.6,8.3
3,,Liver,-,-,-,-,-,-,0.3,0.3,1.8,2.1,4.4,5.9,10.9,20.5,35.3,53.5,88.2,104.3,,,,4,0.4,10.7,4.0
4,,Pancreas,-,-,-,-,-,-,0.3,0.3,0.6,2.1,3.8,5.6,12.0,21.0,26.5,42.4,52.1,50.9,,,,5,0.4,7.6,3.2
5,,Ovary and peritoneum,-,-,-,-,0.9,0.4,0.6,0.6,2.1,5.4,8.7,10.2,10.9,12.4,14.4,12.1,21.3,15.8,,,,6,0.3,5.5,2.9
6,,Stomach,-,-,-,-,-,0.4,1.5,0.6,1.8,3.9,4.1,5.9,8.6,11.5,15.2,22.2,42.5,61.7,,,,7,0.3,6.6,2.7
7,,Cervix,-,-,-,-,0.5,0.4,0.6,1.7,2.1,4.2,4.4,5.9,3.4,5.7,12.8,19.2,14.9,12.5,,,,8,0.2,3.8,1.9
8,,Non-Hodgkin lymphoma,-,-,-,0.7,0.5,0.4,0.3,0.9,0.6,0.9,1.2,2.8,5.6,6.7,16.0,17.2,28.7,38.4,,,,9,0.2,4.1,1.7
9,,Leukaemia,-,1.4,0.8,0.7,0.9,-,0.9,1.1,1.2,0.9,0.9,2.5,2.2,4.8,9.6,11.1,23.4,30.9,,,,10,0.1,3.2,1.5
10,,Corpus uteri,-,-,-,-,-,-,-,0.3,0.3,1.8,4.4,5.3,6.4,8.6,10.4,8.1,10.6,6.7,,,,11,0.2,2.9,1.5
11,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,0.3,0.3,0.9,1.5,4.1,7.2,11.2,13.1,13.8,15.8,,,,12,0.1,2.4,1.0
12,,Nasopharynx,-,-,-,0.7,-,0.4,-,0.3,0.9,0.6,2.6,4.9,4.5,4.3,2.4,6.1,3.2,5.0,,,,13,0.1,1.8,1.0
13,,Bone and soft tissue,-,-,0.8,0.7,0.5,-,-,0.3,0.9,1.2,1.7,3.1,3.0,4.3,4.0,4.0,7.4,1.7,,,,14,0.1,1.6,0.9
14,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.3,0.6,0.3,0.6,2.2,1.9,3.3,8.0,13.1,27.6,25.0,,,,15,0.1,2.6,0.9
15,,Brain and other central nervous system,-,0.7,-,-,0.9,1.5,0.3,-,0.3,1.2,1.2,0.6,2.2,4.3,3.2,-,3.2,4.2,,,,16,0.1,1.2,0.8
16,,"Uterus, unspecified",-,-,-,-,-,-,-,-,0.6,1.5,2.6,3.7,2.2,4.3,3.2,4.0,2.1,4.2,,,,17,0.1,1.5,0.8
17,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,0.4,-,-,0.3,0.6,2.3,0.3,1.1,1.9,4.8,8.1,11.7,20.9,,,,18,0.1,1.8,0.7
18,,Oesophagus,-,-,-,-,-,-,-,-,-,0.3,0.3,1.2,1.9,3.3,4.8,7.1,11.7,11.7,,,,19,0.1,1.4,0.5
19,,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,0.3,0.9,1.5,3.3,5.6,7.1,5.3,15.0,,,,20,0.1,1.3,0.5
20,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,0.3,1.8,0.9,2.2,0.7,2.9,2.4,1.0,6.4,7.5,,,,21,0.1,1.1,0.5
21,,Bladder,-,-,-,-,-,-,-,-,-,0.3,-,0.3,0.4,1.9,3.2,7.1,11.7,30.9,,,,22,0.0,1.7,0.5
22,,Thyroid gland,-,-,-,-,-,-,-,0.6,-,-,0.9,0.3,1.9,0.5,0.8,5.0,5.3,10.0,,,,23,0.0,0.9,0.3
23,,Melanoma of skin,-,-,-,-,-,-,-,0.3,0.6,0.6,0.3,0.3,1.5,1.0,0.8,1.0,2.1,4.2,,,,24,0.0,0.6,0.3
24,,Small intestine,-,-,-,-,-,-,-,-,0.3,-,-,0.6,0.4,1.4,0.8,3.0,1.1,5.0,,,,25,0.0,0.5,0.2
25,,Thymus / other thoracic organs,-,-,-,-,0.5,-,0.3,-,-,-,0.6,-,0.7,-,2.4,1.0,-,-,,,,26,0.0,0.3,0.2
26,,Other endocrine glands,-,0.7,-,-,-,0.4,-,-,-,-,0.3,-,-,-,1.6,-,-,-,,,,27,0.0,0.1,0.1
27,,Non-melanoma skin,-,-,-,-,-,-,-,0.3,-,-,0.6,-,-,-,0.8,2.0,2.1,1.7,,,,28,0.0,0.3,0.1
28,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,0.6,-,-,0.4,-,0.8,2.0,1.1,0.8,,,,29,0.0,0.2,0.1
29,,Larynx,-,-,-,-,-,-,-,-,-,-,-,0.3,-,0.5,1.6,-,-,0.8,,,,30,0.0,0.1,0.1
30,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,0.3,0.7,-,-,-,-,-,,,,31,0.0,0.1,0.0
31,,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,-,,,,32,-,0.0,0.0
32,,Other and unspecified,-,-,-,-,0.9,0.4,-,1.7,1.5,5.4,4.6,7.1,10.9,14.8,20.9,42.4,56.3,105.1,,,,-,0.3,9.5,3.7
33,,All sites,-,2.8,1.6,2.7,5.9,5.4,8.3,17.9,30.4,73.6,119.8,158.5,214.1,304.3,401.8,581.2,865.0,"1,135.1",,,,-,6.7,146.7,63.3
