,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
7,,Oesophagus,-,-,-,-,-,-,-,0.4,0.9,3.3,6.8,9.1,14.3,20.0,25.7,27.6,18.3,50.2,,,,8,0.4,7.1,3.3
8,,Non-Hodgkin lymphoma,-,1.3,-,-,-,-,0.4,1.7,2.1,3.7,5.0,4.5,7.3,18.0,24.9,33.7,43.0,43.9,,,,9,0.3,6.8,3.2
9,,Leukaemia,0.7,-,0.7,0.6,2.3,0.4,0.4,1.3,1.7,1.7,3.6,5.2,7.3,10.7,21.7,16.3,27.4,51.7,,,,10,0.3,5.5,2.7
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,0.6,-,0.4,-,-,1.3,1.7,3.9,6.5,6.6,10.2,15.2,14.3,18.3,29.8,,,,11,0.2,4.2,2.0
11,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,0.4,0.9,0.8,1.4,5.2,7.0,15.6,16.1,16.3,23.5,42.3,,,,12,0.2,4.6,2.0
12,,Bone and soft tissue,-,0.6,0.7,3.1,1.4,1.3,0.4,1.3,1.3,0.8,1.4,2.9,2.7,5.4,4.0,4.1,5.2,15.7,,,,13,0.1,2.2,1.5
13,,Bladder,-,-,-,-,-,-,-,-,-,-,1.1,0.6,3.1,6.8,11.2,24.5,37.8,62.7,,,,14,0.1,3.9,1.4
14,,Brain and other central nervous system,-,1.3,-,1.2,-,0.4,0.4,0.9,2.1,0.8,2.8,1.9,3.1,4.9,4.8,3.1,3.9,9.4,,,,15,0.1,1.9,1.2
15,,Gallbladder and extrahepatic bile duct,-,0.6,-,-,-,-,-,-,-,-,0.4,1.9,3.1,3.4,7.2,13.3,11.7,25.1,,,,16,0.1,2.1,0.8
16,,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,1.1,1.9,1.5,6.8,7.2,12.3,15.6,20.4,,,,17,0.1,2.2,0.8
17,,Larynx,-,-,-,-,-,-,-,-,-,0.4,-,1.9,3.5,1.0,8.0,5.1,5.2,20.4,,,,18,0.1,1.5,0.6
18,,Melanoma of skin,-,-,-,-,-,0.4,-,0.4,-,0.4,0.4,1.0,1.5,1.0,3.2,2.0,5.2,11.0,,,,19,0.0,0.9,0.4
19,,Thyroid gland,-,-,-,-,-,-,-,0.4,-,-,0.7,-,-,1.5,4.0,6.1,6.5,6.3,,,,20,0.0,0.8,0.3
20,,Thymus / other thoracic organs,-,-,0.7,-,-,-,-,0.4,0.4,0.8,0.4,0.3,0.8,0.5,0.8,2.0,1.3,1.6,,,,21,0.0,0.4,0.3
21,,Small intestine,-,-,-,-,-,-,-,-,0.4,-,0.7,0.6,0.4,2.0,1.6,1.0,2.6,6.3,,,,22,0.0,0.6,0.2
22,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,0.4,0.7,0.3,0.4,1.5,0.8,3.1,2.6,3.1,,,,23,0.0,0.5,0.2
23,,Non-melanoma skin,-,-,-,-,-,-,-,-,0.4,-,0.7,0.3,0.4,1.0,0.8,2.0,1.3,7.8,,,,24,0.0,0.5,0.2
24,,Other endocrine glands,-,1.3,-,-,-,-,-,-,-,-,-,0.3,-,0.5,-,-,-,1.6,,,,25,0.0,0.1,0.2
25,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.6,2.0,1.3,4.7,,,,26,0.0,0.3,0.1
26,,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,0.4,0.3,-,1.0,-,3.1,2.6,-,,,,27,0.0,0.3,0.1
27,,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,0.4,-,0.4,0.5,0.8,-,-,-,,,,28,0.0,0.1,0.1
28,,Testis,-,-,-,-,0.5,-,-,-,-,-,0.4,-,-,-,-,-,-,-,,,,29,0.0,0.1,0.1
29,,Breast,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,1.0,-,1.6,,,,30,0.0,0.1,0.0
30,,Eye,-,-,-,-,-,-,-,-,-,-,-,0.6,-,-,-,-,-,-,,,,31,0.0,0.1,0.0
31,,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,0.4,-,-,-,-,-,-,-,-,,,,32,0.0,0.0,0.0
32,,Other and unspecified,-,-,-,-,1.8,0.9,1.3,2.6,1.3,3.7,5.3,10.1,17.8,22.4,39.3,61.3,82.1,150.5,,,,-,0.5,12.8,5.4
33,,All sites,0.7,5.7,3.7,6.2,6.5,5.2,5.7,26.3,43.0,73.8,131.7,245.7,382.0,584.9,844.3,"1,154.2","1,515.0","2,232.0",,,,-,11.8,250.1,107.8
