,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
19,20,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,1,1,4,1,3,1,3,4,-,18,0.2,,,,
20,20,Thyroid gland,-,-,-,-,-,-,-,-,-,-,-,1,3,2,5,4,2,1,-,18,0.2,,,,
21,22,Mesothelioma,-,-,-,-,-,-,-,-,1,-,1,1,1,4,2,3,3,-,-,16,0.2,,,,
22,23,Small intestine,-,-,-,-,-,-,-,-,1,2,2,1,1,1,1,2,1,1,-,13,0.2,,,,
23,24,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,1,-,-,-,1,-,2,2,1,1,2,-,-,10,0.1,,,,
24,25,Other endocrine glands,-,-,-,1,-,-,-,-,-,1,1,1,-,1,1,1,1,-,-,8,0.1,,,,
25,26,Thymus / other thoracic organs,-,-,-,-,1,-,-,-,-,-,-,1,1,-,2,-,1,1,-,7,0.1,,,,
26,27,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,6,0.1,,,,
27,28,Testis,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,4,0.1,,,,
28,29,Hodgkin lymphoma,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,2,0.0,,,,
29,30,Eye,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,0.0,,,,
30,-,Other and unspecified,-,1,-,-,5,1,2,4,7,16,28,42,36,41,78,88,59,62,-,470,6.1,,,,
31,-,All sites,2,1,3,8,13,18,40,57,120,313,537,659,735,832,"1,131","1,371","1,043",798,1,"7,682",100.0,,,,
0,,Lung,-,-,-,-,-,0.9,3.1,4.2,11.0,22.5,39.8,81.5,142.7,235.8,330.4,527.1,697.4,727.3,,,,1,4.4,75.0,39.5
1,,Liver,-,-,-,0.9,-,0.4,3.6,5.0,8.4,21.8,38.8,49.0,83.1,110.7,126.6,162.8,165.4,181.8,,,,2,2.2,32.6,18.9
2,,Colorectum,-,-,-,-,-,0.9,1.8,2.5,3.0,9.5,21.7,31.2,47.2,89.6,139.6,191.0,297.0,346.6,,,,3,1.7,30.4,15.9
3,,Stomach,-,-,-,-,-,-,0.4,0.8,1.9,4.7,8.4,13.5,21.8,31.3,58.1,82.5,118.4,142.0,,,,4,0.7,12.6,6.5
4,,Nasopharynx,-,-,-,0.5,-,1.3,2.2,2.5,6.5,12.3,17.7,19.0,18.9,21.1,14.7,18.8,24.4,19.9,,,,5,0.6,8.6,5.3
5,,Oesophagus,-,-,-,-,-,-,-,-,0.4,3.2,8.4,14.8,21.8,28.7,35.6,39.7,56.4,51.1,,,,6,0.6,8.2,4.6
6,,Prostate,-,-,-,-,-,-,-,-,0.4,1.6,1.0,1.3,5.9,27.9,30.4,85.6,109.0,215.9,,,,7,0.3,9.3,4.4
7,,Pancreas,-,-,-,-,0.5,-,-,-,0.8,3.2,5.7,8.0,17.7,27.9,39.9,43.8,50.8,62.5,,,,8,0.5,7.6,4.2
8,,Non-Hodgkin lymphoma,-,-,-,-,-,0.4,0.4,2.1,3.8,1.9,4.7,6.8,7.7,16.9,20.8,37.6,45.1,45.5,,,,9,0.3,5.7,3.1
9,,Leukaemia,1.7,-,-,0.5,1.4,2.6,1.3,2.1,1.1,3.2,2.0,5.5,4.1,7.6,22.5,20.9,30.1,39.8,,,,10,0.3,4.4,2.7
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,0.9,0.4,0.4,2.5,5.7,8.4,6.5,8.5,18.2,10.4,35.7,39.8,,,,11,0.3,4.1,2.2
11,,Bladder,-,-,-,-,-,-,-,0.4,0.4,0.6,0.7,2.5,3.5,11.8,17.3,31.3,60.2,79.5,,,,12,0.2,4.3,2.1
12,,Kidney and other urinary organs except bladder,-,-,-,0.5,-,-,-,-,0.8,2.8,5.0,4.6,4.7,10.1,11.3,26.1,37.6,28.4,,,,13,0.2,3.8,2.0
13,,Larynx,-,-,-,-,-,-,-,-,-,0.6,1.3,2.5,5.3,7.6,9.5,4.2,22.6,19.9,,,,14,0.1,1.9,1.1
14,,Brain and other central nervous system,-,-,0.5,-,0.5,-,0.9,0.4,1.9,1.6,2.7,3.0,2.9,5.9,4.3,3.1,9.4,-,,,,15,0.1,1.7,1.1
15,,Multiple myeloma,-,-,-,-,-,-,-,0.8,0.4,0.3,0.7,2.1,2.9,5.9,10.4,15.7,18.8,14.2,,,,16,0.1,2.0,1.0
16,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,0.4,0.3,0.7,1.3,4.1,5.1,5.2,17.7,33.8,25.6,,,,17,0.1,2.1,1.0
17,,Bone and soft tissue,-,-,1.0,0.5,0.9,0.4,1.8,0.8,0.8,-,1.0,1.7,2.9,1.7,4.3,5.2,9.4,11.4,,,,18,0.1,1.4,1.0
18,,Melanoma of skin,-,-,-,-,-,-,-,-,-,-,2.0,0.8,0.6,3.4,0.9,2.1,1.9,11.4,,,,19,0.0,0.6,0.4
19,,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,0.3,0.4,2.4,0.8,2.6,1.0,5.6,11.4,,,,20,0.0,0.5,0.3
20,,Thyroid gland,-,-,-,-,-,-,-,-,-,-,-,0.4,1.8,1.7,4.3,4.2,3.8,2.8,,,,21,0.0,0.5,0.3
21,,Mesothelioma,-,-,-,-,-,-,-,-,0.4,-,0.3,0.4,0.6,3.4,1.7,3.1,5.6,-,,,,22,0.0,0.5,0.3
22,,Small intestine,-,-,-,-,-,-,-,-,0.4,0.6,0.7,0.4,0.6,0.8,0.9,2.1,1.9,2.8,,,,23,0.0,0.4,0.2
23,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,0.4,-,-,-,0.3,-,1.2,1.7,0.9,1.0,3.8,-,,,,24,0.0,0.3,0.2
24,,Other endocrine glands,-,-,-,0.5,-,-,-,-,-,0.3,0.3,0.4,-,0.8,0.9,1.0,1.9,-,,,,25,0.0,0.2,0.2
25,,Thymus / other thoracic organs,-,-,-,-,0.5,-,-,-,-,-,-,0.4,0.6,-,1.7,-,1.9,2.8,,,,26,0.0,0.2,0.1
26,,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,-,-,0.6,0.8,-,1.0,1.9,5.7,,,,27,0.0,0.2,0.1
27,,Testis,-,-,-,0.5,-,-,-,-,-,-,-,0.4,-,0.8,-,-,-,2.8,,,,28,0.0,0.1,0.1
28,,Hodgkin lymphoma,-,-,-,-,-,0.4,-,-,-,-,0.3,-,-,-,-,-,-,-,,,,29,0.0,0.1,0.1
29,,Eye,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,,,,30,0.0,0.0,0.0
30,,Other and unspecified,-,0.7,-,-,2.3,0.4,0.9,1.7,2.7,5.1,9.4,17.7,21.2,34.7,67.6,91.9,110.9,176.1,,,,-,0.8,14.3,7.7
31,,All sites,1.7,0.7,1.6,3.6,5.9,7.8,17.8,23.8,45.7,99.1,179.4,278.2,433.4,703.3,980.9,"1,431.1","1,960.5","2,267.0",,,,-,13.9,233.9,126.6
