,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
16,17,Bladder,-,-,-,-,-,-,-,-,-,2,2,1,4,3,4,6,7,25,-,54,1.0,,,,
17,18,Bone and soft tissue,1,-,1,1,3,3,1,2,3,1,4,7,5,3,3,8,1,4,-,51,0.9,,,,
18,19,"Uterus, unspecified",-,-,-,-,-,-,-,-,1,5,7,10,8,3,2,4,-,9,-,49,0.9,,,,
19,20,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,-,3,2,5,5,5,4,5,5,11,2,-,47,0.8,,,,
20,21,Brain and other central nervous system,1,1,-,-,-,-,2,-,2,4,2,7,4,4,1,5,2,-,-,35,0.6,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,-,4,1,1,2,2,1,6,6,4,-,27,0.5,,,,
22,23,Melanoma of skin,-,-,-,-,-,-,-,1,-,3,1,4,4,4,2,-,4,2,-,25,0.4,,,,
23,24,Thyroid gland,-,-,-,-,-,-,-,-,-,-,1,-,3,2,-,2,4,8,-,20,0.4,,,,
24,25,Non-melanoma skin,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3,2,6,-,13,0.2,,,,
25,26,Small intestine,-,-,-,-,-,-,-,-,-,1,3,1,1,-,1,2,-,3,-,12,0.2,,,,
26,27,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,1,1,1,-,1,4,2,1,-,-,-,11,0.2,,,,
27,28,Other endocrine glands,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,5,0.1,,,,
28,29,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,-,4,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,3,0.1,,,,
30,31,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,0.0,,,,
31,32,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0.0,,,,
32,-,Other and unspecified,-,-,-,-,-,-,2,4,8,14,24,22,40,29,32,48,82,112,-,417,7.4,,,,
33,-,All sites,6,3,3,5,5,12,35,56,148,239,396,499,531,445,447,700,864,"1,260",1,"5,655",100.0,,,,
0,,Lung,-,-,-,0.5,-,-,0.9,3.3,5.3,12.5,22.9,41.7,56.6,77.2,104.2,161.2,283.1,338.8,,,,1,1.6,35.7,15.6
1,,Colorectum,-,-,-,-,0.4,0.3,1.2,1.2,3.8,5.3,12.3,21.9,35.0,37.6,70.5,103.8,178.9,278.9,,,,2,0.9,23.2,9.5
2,,Breast,-,-,-,-,-,1.0,3.2,3.6,12.7,14.8,25.6,33.0,31.9,30.7,36.7,26.4,43.0,76.4,,,,3,1.0,15.5,8.5
3,,Liver,-,-,-,0.5,-,-,0.3,0.6,3.0,0.9,5.9,8.3,15.7,27.3,45.4,58.3,69.1,96.1,,,,4,0.5,10.4,4.7
4,,Pancreas,-,-,-,-,-,-,-,0.9,0.3,0.6,4.7,7.3,9.0,20.5,27.0,45.5,51.0,59.9,,,,5,0.4,7.1,3.2
5,,Ovary and peritoneum,-,-,-,-,-,1.0,0.3,0.9,3.3,6.5,8.5,8.7,11.2,8.2,13.5,20.9,24.9,22.7,,,,6,0.3,5.5,2.9
6,,Stomach,-,-,-,-,-,-,0.6,0.3,2.4,3.9,3.5,7.6,9.4,16.4,16.4,18.2,52.1,61.0,,,,7,0.3,6.4,2.9
7,,Leukaemia,1.6,0.8,1.4,1.0,-,0.7,-,0.6,1.8,0.9,2.4,3.8,3.1,7.5,7.7,19.1,14.7,24.8,,,,8,0.2,3.2,1.9
8,,Cervix,-,-,-,-,-,-,0.3,2.1,2.7,5.0,3.5,5.6,4.0,4.1,13.5,12.8,15.9,23.8,,,,9,0.2,3.7,1.9
9,,Non-Hodgkin lymphoma,0.8,-,-,-,0.4,-,0.9,-,0.3,1.8,1.5,2.8,7.2,8.2,14.5,20.9,26.0,35.1,,,,10,0.2,3.8,1.8
10,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,0.6,0.6,2.6,2.4,4.0,5.5,6.8,17.3,29.4,28.9,,,,11,0.1,3.0,1.2
11,,Corpus uteri,-,-,-,-,-,-,0.3,0.3,0.6,0.9,3.2,3.8,6.7,6.1,2.9,10.0,7.9,8.3,,,,12,0.1,2.1,1.1
12,,Nasopharynx,-,-,-,-,-,-,0.6,0.9,1.5,3.6,3.2,2.4,2.7,4.1,4.8,7.3,2.3,6.2,,,,13,0.1,1.9,1.1
13,,Bone and soft tissue,0.8,-,0.7,0.5,1.3,1.0,0.3,0.6,0.9,0.3,1.2,2.4,2.2,2.0,2.9,7.3,1.1,4.1,,,,14,0.1,1.3,1.0
14,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,0.3,0.3,1.2,2.4,1.8,2.7,4.8,10.9,14.7,22.7,,,,15,0.1,1.9,0.7
15,,Brain and other central nervous system,0.8,0.8,-,-,-,-,0.6,-,0.6,1.2,0.6,2.4,1.8,2.7,1.0,4.6,2.3,-,,,,16,0.1,0.9,0.7
16,,"Uterus, unspecified",-,-,-,-,-,-,-,-,0.3,1.5,2.1,3.5,3.6,2.0,1.9,3.6,-,9.3,,,,17,0.1,1.3,0.7
17,,Multiple myeloma,-,-,-,-,-,-,-,-,-,1.2,-,1.0,3.1,4.8,4.8,7.3,11.3,12.4,,,,18,0.1,1.5,0.7
18,,Oesophagus,-,-,-,-,-,-,-,-,-,0.9,-,0.3,1.8,3.4,4.8,12.8,18.1,19.6,,,,19,0.1,1.7,0.7
19,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,-,0.9,0.6,1.5,1.7,2.2,2.7,4.8,4.6,12.5,2.1,,,,20,0.1,1.2,0.6
20,,Bladder,-,-,-,-,-,-,-,-,-,0.6,0.6,0.3,1.8,2.0,3.9,5.5,7.9,25.8,,,,21,0.0,1.4,0.5
21,,Melanoma of skin,-,-,-,-,-,-,-,0.3,-,0.9,0.3,1.4,1.8,2.7,1.9,-,4.5,2.1,,,,22,0.0,0.6,0.4
22,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,-,1.2,0.3,0.3,0.9,1.4,1.0,5.5,6.8,4.1,,,,23,0.0,0.7,0.3
23,,Other endocrine glands,0.8,0.8,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,1.1,1.0,,,,24,0.0,0.1,0.2
24,,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,0.3,0.3,0.3,-,0.4,2.7,1.9,0.9,-,-,,,,25,0.0,0.3,0.2
25,,Thyroid gland,-,-,-,-,-,-,-,-,-,-,0.3,-,1.3,1.4,-,1.8,4.5,8.3,,,,26,0.0,0.5,0.2
26,,Small intestine,-,-,-,-,-,-,-,-,-,0.3,0.9,0.3,0.4,-,1.0,1.8,-,3.1,,,,27,0.0,0.3,0.1
27,,Non-melanoma skin,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,1.0,2.7,2.3,6.2,,,,28,0.0,0.3,0.1
28,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,-,0.9,-,2.1,,,,29,0.0,0.1,0.0
29,,Mesothelioma,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,0.9,-,1.0,,,,30,0.0,0.1,0.0
30,,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,,,,31,0.0,0.0,0.0
31,,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,-,1.0,,,,32,-,0.1,0.0
32,,Other and unspecified,-,-,-,-,-,-,0.6,1.2,2.4,4.2,7.1,7.6,18.0,19.8,30.9,43.7,92.9,115.7,,,,-,0.5,10.8,4.6
33,,All sites,4.8,2.5,2.2,2.5,2.2,4.1,10.3,17.0,43.8,70.9,116.3,173.3,238.4,304.0,431.5,637.5,978.5,"1,301.7",,,,-,7.1,146.9,68.1
