,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
2,,Colorectum,-,-,-,0.7,-,-,0.9,2.4,2.1,6.1,10.3,19.0,28.1,39.4,55.2,76.0,163.1,213.3,,,,3,0.8,22.2,8.1
3,,Pancreas,-,-,-,-,-,-,-,0.3,1.5,2.0,3.3,9.8,10.4,15.2,34.9,50.3,47.5,59.0,,,,4,0.4,8.5,3.4
4,,Liver,-,-,-,-,-,-,0.6,0.3,-,1.7,2.7,6.1,10.4,16.0,31.1,41.8,67.0,108.9,,,,5,0.3,9.8,3.3
5,,Ovary and peritoneum,-,-,-,0.7,0.5,0.4,0.6,1.4,3.5,4.9,9.9,13.0,11.4,12.6,17.1,13.9,22.7,15.1,,,,6,0.4,6.4,3.3
6,,Stomach,-,-,-,-,-,-,0.3,0.8,1.8,3.7,6.0,7.8,11.7,14.3,23.5,24.6,27.0,60.5,,,,7,0.3,7.4,3.1
7,,Cervix,-,-,-,-,-,1.1,0.3,1.6,2.6,2.9,6.6,4.9,7.4,9.1,5.7,18.2,9.7,12.1,,,,8,0.2,4.0,2.0
8,,Leukaemia,0.8,1.3,-,1.4,-,0.4,0.3,1.4,1.2,1.2,3.3,3.2,4.7,4.8,6.3,9.6,23.8,24.2,,,,9,0.2,3.4,1.7
9,,Corpus uteri,-,-,-,-,-,-,0.6,-,0.9,2.3,4.2,6.6,6.4,6.5,11.4,4.3,6.5,16.6,,,,10,0.2,3.3,1.5
10,,Non-Hodgkin lymphoma,-,-,-,-,-,0.4,0.3,-,0.6,1.2,2.1,3.2,5.0,7.4,10.1,21.4,32.4,24.2,,,,11,0.2,3.8,1.5
11,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.3,-,0.3,1.2,1.7,0.7,5.2,9.5,11.8,15.1,27.2,,,,12,0.1,2.5,0.9
12,,Bone and soft tissue,-,-,-,-,-,-,-,1.9,0.9,0.9,1.5,2.3,3.4,4.3,3.8,7.5,2.2,3.8,,,,13,0.1,1.6,0.8
13,,Brain and other central nervous system,-,0.7,-,-,-,0.4,0.6,0.5,0.6,1.2,1.8,1.7,3.7,3.0,2.5,6.4,5.4,3.0,,,,14,0.1,1.5,0.8
14,,Kidney and other urinary organs except bladder,-,-,-,-,-,0.4,-,-,-,0.9,0.9,1.4,2.0,3.0,6.3,7.5,18.4,21.2,,,,15,0.1,2.1,0.8
15,,Nasopharynx,-,-,-,-,-,0.4,0.3,0.3,1.2,1.4,2.1,1.7,2.7,2.2,2.5,2.1,6.5,8.3,,,,16,0.1,1.5,0.7
16,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,0.6,0.3,0.9,0.6,0.6,1.4,1.7,4.8,3.2,3.2,9.7,12.9,,,,17,0.1,1.6,0.6
17,,"Uterus, unspecified",-,-,-,-,-,-,-,-,0.6,0.6,1.8,2.9,3.4,1.3,3.8,3.2,4.3,3.0,,,,18,0.1,1.2,0.6
18,,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,-,1.7,2.3,3.5,3.2,8.6,16.2,11.3,,,,19,0.1,1.6,0.6
19,,Bladder,-,-,-,-,-,-,-,-,-,0.3,0.6,0.3,0.7,2.2,3.8,5.4,14.0,28.7,,,,20,0.0,1.8,0.5
20,,Oesophagus,-,-,-,-,-,-,-,-,-,0.3,0.6,0.6,0.7,3.5,2.5,5.4,15.1,15.1,,,,21,0.0,1.4,0.5
21,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,0.3,0.3,0.6,0.3,0.9,1.0,1.3,2.5,5.4,3.2,7.6,,,,22,0.0,0.9,0.4
22,,Melanoma of skin,-,-,-,-,-,-,-,0.3,0.3,0.6,0.6,-,1.0,0.9,1.9,3.2,4.3,3.0,,,,23,0.0,0.6,0.3
23,,Thyroid gland,-,-,-,-,-,-,0.3,-,-,-,-,0.3,0.3,1.7,2.5,4.3,8.6,6.1,,,,24,0.0,0.8,0.3
24,,Other endocrine glands,-,0.7,0.7,-,-,0.4,-,-,0.3,-,-,-,0.3,-,-,-,-,-,,,,25,0.0,0.1,0.2
25,,Small intestine,-,-,-,-,-,-,-,-,-,-,0.6,0.3,-,0.9,1.3,1.1,6.5,3.8,,,,26,0.0,0.5,0.2
26,,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,-,0.6,-,0.6,0.3,-,0.6,1.1,1.1,1.5,,,,27,0.0,0.2,0.1
27,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,0.9,0.6,-,-,3.0,,,,28,0.0,0.2,0.1
28,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,0.3,-,-,-,0.4,1.3,-,-,1.5,,,,29,0.0,0.1,0.1
29,,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,0.6,-,-,-,-,1.1,6.1,,,,30,0.0,0.3,0.1
30,,Placenta,-,-,-,-,-,-,-,-,-,-,-,-,0.7,-,-,-,-,-,,,,31,0.0,0.0,0.0
31,,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,-,0.8,,,,32,-,0.0,0.0
32,,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,,,,33,-,0.0,0.0
33,,Other and unspecified,-,-,-,-,-,0.4,0.3,0.8,2.3,1.4,5.4,5.5,13.1,12.1,16.5,34.3,42.1,87.0,,,,-,0.3,8.2,3.0
34,,All sites,0.8,2.7,0.7,2.9,0.5,4.5,8.0,17.3,34.6,65.5,114.9,159.4,231.5,283.9,414.1,564.2,858.5,"1,143.7",,,,-,6.7,152.5,62.5
