,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
4,,Stomach,-,-,-,-,-,0.4,-,0.4,1.3,3.3,6.4,10.4,14.2,25.9,35.6,61.7,78.8,127.7,,,,5,0.5,12.1,4.8
5,,Prostate,-,-,-,-,-,-,-,-,-,-,0.7,1.9,8.7,12.7,39.2,68.0,146.1,254.0,,,,6,0.3,13.7,4.3
6,,Nasopharynx,-,-,-,-,-,0.9,-,2.9,4.3,5.8,12.4,14.6,13.8,15.1,14.5,19.9,10.2,5.8,,,,7,0.4,6.8,3.6
7,,Leukaemia,0.7,0.6,2.8,3.3,2.4,0.4,1.3,0.4,1.3,2.1,3.4,2.6,8.4,15.1,16.0,26.2,41.9,42.1,,,,8,0.3,6.2,3.3
8,,Oesophagus,-,-,-,-,-,-,-,-,0.4,2.5,5.2,7.4,17.1,17.9,23.2,32.4,38.1,40.6,,,,9,0.4,7.3,3.1
9,,Non-Hodgkin lymphoma,-,-,-,-,1.0,0.4,0.9,-,1.7,2.9,3.0,3.6,9.1,14.1,18.9,29.3,45.7,62.4,,,,10,0.3,6.5,2.7
10,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,0.4,0.4,0.4,2.5,5.2,5.5,9.8,12.2,18.1,13.6,24.1,43.5,,,,11,0.3,5.3,2.3
11,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,0.4,0.4,0.9,2.1,5.2,8.4,6.9,11.8,21.0,10.5,22.9,24.7,,,,12,0.3,4.9,2.2
12,,Bladder,-,-,-,-,-,-,0.4,-,-,0.4,0.7,1.3,4.4,6.6,10.9,24.1,31.8,68.2,,,,13,0.1,4.2,1.5
13,,Brain and other central nervous system,-,-,-,0.7,1.0,0.4,1.3,0.8,2.2,0.4,1.9,3.9,5.1,5.2,8.7,5.2,1.3,1.5,,,,14,0.2,2.2,1.3
14,,Bone and soft tissue,-,-,0.7,1.3,1.0,0.9,0.4,1.3,0.4,-,1.5,1.9,6.9,4.7,5.1,2.1,1.3,11.6,,,,15,0.1,2.0,1.2
15,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,-,0.4,3.2,4.7,6.6,11.6,6.3,21.6,37.7,,,,16,0.1,3.0,1.1
16,,Multiple myeloma,-,-,-,-,-,-,-,-,-,0.4,1.5,1.0,3.6,3.3,10.2,10.5,12.7,20.3,,,,17,0.1,2.1,0.9
17,,Larynx,-,-,-,-,-,-,-,-,0.4,-,0.7,1.3,2.5,2.8,2.9,5.2,10.2,21.8,,,,18,0.1,1.5,0.6
18,,Thyroid gland,-,-,-,-,-,-,-,-,0.4,0.4,0.4,-,1.1,0.9,2.9,4.2,6.4,8.7,,,,19,0.0,0.8,0.3
19,,Melanoma of skin,-,-,-,-,-,-,-,-,-,-,-,0.6,1.8,1.9,1.5,4.2,2.5,4.4,,,,20,0.0,0.6,0.3
20,,Small intestine,-,-,-,-,-,-,-,-,-,-,-,0.3,1.8,0.5,0.7,4.2,8.9,4.4,,,,21,0.0,0.6,0.2
21,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,0.4,0.6,0.7,2.4,1.5,1.0,1.3,4.4,,,,22,0.0,0.5,0.2
22,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,0.4,0.7,0.3,0.7,-,0.7,4.2,-,1.5,,,,23,0.0,0.4,0.2
23,,Thymus / other thoracic organs,-,-,-,-,-,-,-,0.4,-,0.4,0.4,0.6,0.4,0.5,-,1.0,2.5,2.9,,,,24,0.0,0.4,0.2
24,,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,2.2,-,3.8,10.2,,,,25,0.0,0.4,0.1
25,,Other endocrine glands,-,0.6,-,-,-,-,-,-,-,-,-,-,0.7,0.5,0.7,1.0,-,-,,,,26,0.0,0.2,0.1
26,,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,0.7,0.5,2.2,-,2.5,-,,,,27,0.0,0.2,0.1
27,,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,0.4,0.3,-,-,0.7,-,-,4.4,,,,28,0.0,0.2,0.1
28,,Breast,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,0.7,-,1.3,-,,,,29,0.0,0.1,0.0
29,,Testis,-,-,-,-,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,,,,30,0.0,0.0,0.0
30,,Eye,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,-,-,-,,,,31,0.0,0.0,0.0
31,,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,,,,32,0.0,0.0,0.0
32,,Other and unspecified,-,-,-,-,1.0,0.9,-,0.8,0.4,3.3,5.2,6.8,16.0,23.6,42.8,52.3,78.8,117.6,,,,-,0.5,11.6,4.7
33,,All sites,0.7,1.3,3.5,5.3,7.2,6.6,8.3,14.3,40.9,62.1,131.9,220.5,375.2,559.1,830.2,"1,172.6","1,552.7","2,090.0",,,,-,11.3,249.9,103.4
