,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
15,16,Multiple myeloma,-,-,-,-,-,-,1,-,-,1,2,7,6,6,11,8,10,4,-,56,0.8,,,,
16,17,Brain and other central nervous system,-,-,3,4,2,1,3,1,2,3,3,5,6,5,7,6,1,1,-,53,0.7,,,,
17,18,Bone and soft tissue,-,1,1,1,1,-,1,1,2,2,2,2,1,5,1,5,6,2,-,34,0.5,,,,
18,19,Melanoma of skin,-,-,-,-,-,-,1,-,3,2,2,-,-,2,2,2,2,1,-,17,0.2,,,,
19,20,Small intestine,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,2,6,1,-,14,0.2,,,,
20,21,Thymus / other thoracic organs,-,-,-,-,1,-,-,-,2,2,3,1,2,-,-,-,1,-,-,12,0.2,,,,
21,22,Non-melanoma skin,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,2,2,2,-,9,0.1,,,,
22,23,"Nasal cavity, middle ear and accessory sinuses",-,-,-,1,-,-,-,-,-,1,1,1,-,-,-,1,3,-,-,8,0.1,,,,
23,24,Other endocrine glands,-,1,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,3,-,7,0.1,,,,
24,25,Breast,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,4,1,-,-,6,0.1,,,,
25,25,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,6,0.1,,,,
26,25,Thyroid gland,-,-,-,-,-,-,-,-,-,1,-,-,1,-,3,1,-,-,-,6,0.1,,,,
27,28,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,4,0.1,,,,
28,29,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,0.0,,,,
29,30,Kaposi sarcoma,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
30,30,Testis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,0.0,,,,
31,30,Eye,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
32,-,Other and unspecified,1,1,-,1,-,1,2,6,4,18,22,30,44,60,67,66,55,54,-,432,6.0,,,,
33,-,All sites,3,7,5,15,11,17,35,77,160,349,449,585,668,948,"1,217","1,158",844,634,1,"7,183",100.0,,,,
0,,Lung,-,-,-,-,-,0.9,1.6,3.3,9.4,23.6,49.6,95.1,175.8,273.5,416.1,594.3,777.5,798.3,,,,1,5.2,73.1,46.0
1,,Liver,-,-,-,0.9,-,1.3,2.1,5.9,12.8,27.8,51.2,63.0,83.9,125.7,142.2,180.3,193.2,205.9,,,,2,2.6,32.9,22.0
2,,Colorectum,-,-,-,-,0.4,0.9,2.5,4.1,5.8,10.7,13.4,34.9,64.5,81.4,129.0,191.3,273.8,437.0,,,,3,1.7,26.1,16.6
3,,Stomach,-,-,-,-,-,0.4,-,1.5,2.7,6.1,6.1,19.7,28.2,27.7,69.8,94.3,124.7,168.1,,,,4,0.8,12.0,7.5
4,,Nasopharynx,-,-,-,-,0.4,-,2.1,4.1,6.4,13.9,17.9,24.2,23.4,25.3,23.0,24.6,17.1,16.8,,,,5,0.7,8.7,6.1
5,,Oesophagus,-,-,-,-,-,-,-,0.4,1.2,2.3,7.3,12.4,31.5,34.8,39.8,43.7,66.0,67.2,,,,6,0.6,7.8,5.3
6,,Prostate,-,-,-,-,-,-,-,-,-,-,2.4,2.3,9.7,23.7,32.7,76.5,112.5,210.1,,,,7,0.4,7.4,4.3
7,,Pancreas,-,-,-,-,-,-,-,-,1.5,4.8,4.9,10.1,20.2,22.1,24.7,42.3,58.7,58.8,,,,8,0.4,6.1,4.0
8,,Non-Hodgkin lymphoma,-,0.5,-,0.9,0.9,0.4,0.8,2.2,0.6,3.2,3.7,8.4,10.5,13.4,24.7,42.3,39.1,58.8,,,,9,0.4,5.2,3.4
9,,Leukaemia,0.8,1.1,0.5,1.8,1.3,1.8,1.2,2.6,2.7,4.2,2.4,6.8,6.5,11.1,11.5,28.7,34.2,50.4,,,,10,0.3,4.5,3.2
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,0.4,-,0.4,0.6,3.9,5.3,6.8,12.9,12.6,14.1,27.3,26.9,67.2,,,,11,0.3,4.2,2.8
11,,Bladder,-,-,-,-,-,-,-,-,-,0.3,1.2,3.4,5.6,11.1,19.4,31.4,53.8,121.8,,,,12,0.2,3.9,2.4
12,,Kidney and other urinary organs except bladder,-,0.5,-,-,-,-,0.4,0.7,0.6,1.3,1.2,7.3,10.5,7.9,17.7,28.7,22.0,21.0,,,,13,0.2,3.2,2.1
13,,Larynx,-,-,-,-,-,-,-,-,0.3,0.3,1.6,3.4,3.2,6.3,15.9,19.1,22.0,46.2,,,,14,0.2,2.3,1.4
14,,Brain and other central nervous system,-,-,1.4,1.8,0.9,0.4,1.2,0.4,0.6,1.0,1.2,2.8,4.8,4.0,6.2,8.2,2.4,4.2,,,,15,0.1,1.6,1.3
15,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,0.6,-,4.5,2.4,7.9,8.8,19.1,22.0,42.0,,,,16,0.1,2.0,1.2
16,,Multiple myeloma,-,-,-,-,-,-,0.4,-,-,0.3,0.8,3.9,4.8,4.7,9.7,10.9,24.4,16.8,,,,17,0.1,1.7,1.1
17,,Bone and soft tissue,-,0.5,0.5,0.5,0.4,-,0.4,0.4,0.6,0.6,0.8,1.1,0.8,4.0,0.9,6.8,14.7,8.4,,,,18,0.1,1.0,0.7
18,,Melanoma of skin,-,-,-,-,-,-,0.4,-,0.9,0.6,0.8,-,-,1.6,1.8,2.7,4.9,4.2,,,,19,0.0,0.5,0.3
19,,Thymus / other thoracic organs,-,-,-,-,0.4,-,-,-,0.6,0.6,1.2,0.6,1.6,-,-,-,2.4,-,,,,20,0.0,0.4,0.3
20,,Small intestine,-,-,-,-,-,-,-,-,-,-,-,0.6,-,1.6,1.8,2.7,14.7,4.2,,,,21,0.0,0.4,0.2
21,,Other endocrine glands,-,0.5,-,-,-,-,-,-,-,-,-,-,0.8,0.8,0.9,-,-,12.6,,,,22,0.0,0.2,0.2
22,,Non-melanoma skin,-,-,-,-,-,-,0.4,-,-,-,-,0.6,-,0.8,-,2.7,4.9,8.4,,,,23,0.0,0.3,0.2
23,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,0.5,-,-,-,-,-,0.3,0.4,0.6,-,-,-,1.4,7.3,-,,,,24,0.0,0.2,0.2
24,,Thyroid gland,-,-,-,-,-,-,-,-,-,0.3,-,-,0.8,-,2.7,1.4,-,-,,,,25,0.0,0.2,0.1
25,,Eye,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,26,0.0,0.0,0.1
26,,Breast,-,-,-,-,-,-,-,0.4,-,-,-,-,-,-,-,5.5,2.4,-,,,,27,0.0,0.2,0.1
27,,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.1,4.9,4.2,,,,28,-,0.2,0.1
28,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,0.9,1.4,2.4,-,,,,29,0.0,0.1,0.1
29,,Kaposi sarcoma,-,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,30,0.0,0.0,0.0
30,,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.8,-,-,-,,,,31,0.0,0.1,0.0
31,,Testis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2,,,,32,-,0.0,0.0
32,,Other and unspecified,0.8,0.5,-,0.5,-,0.4,0.8,2.2,1.2,5.8,8.9,16.9,35.5,47.4,59.2,90.2,134.5,226.9,,,,-,0.9,13.2,8.7
33,,All sites,2.5,3.8,2.3,6.8,4.9,7.6,14.4,28.5,48.6,112.8,182.5,329.2,538.7,749.4,"1,075.1","1,582.0","2,063.6","2,663.9",,,,-,15.5,219.9,142.1
