,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
19,,Thyroid gland,-,-,-,-,-,-,-,-,0.3,0.3,-,0.6,0.8,0.8,1.8,7.1,2.6,4.5,,,,20,0.0,0.4,0.3
20,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,0.3,-,-,-,0.8,1.6,1.8,5.7,2.6,4.5,,,,21,0.0,0.4,0.2
21,,Thymus / other thoracic organs,-,-,-,-,-,0.4,0.8,-,0.3,-,0.4,0.6,-,-,1.8,1.4,5.2,-,,,,22,0.0,0.3,0.2
22,,Other endocrine glands,0.8,0.5,-,-,-,-,-,-,-,-,-,-,-,-,0.9,1.4,-,-,,,,23,0.0,0.1,0.2
23,,Small intestine,-,-,-,-,-,-,-,-,-,0.3,0.8,-,0.8,0.8,-,4.3,2.6,-,,,,24,0.0,0.3,0.2
24,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,1.2,0.8,-,1.8,2.8,-,-,,,,25,0.0,0.2,0.1
25,,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,0.4,-,-,-,1.8,-,5.2,9.0,,,,26,0.0,0.2,0.1
26,,Hodgkin lymphoma,-,-,-,-,0.5,-,-,-,-,0.7,-,-,-,-,0.9,-,-,4.5,,,,27,0.0,0.2,0.1
27,,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,0.4,-,0.8,-,0.9,-,-,4.5,,,,28,0.0,0.1,0.1
28,,Breast,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.9,-,-,4.5,,,,29,0.0,0.1,0.1
29,,Testis,-,-,-,-,-,-,0.4,-,-,0.3,-,-,-,-,-,-,-,-,,,,30,0.0,0.1,0.0
30,,Other and unspecified,-,-,-,0.9,-,-,-,1.1,1.5,7.7,9.2,14.7,22.5,45.6,81.0,94.0,137.0,153.8,,,,-,0.9,12.5,8.0
31,,All sites,4.1,2.1,3.6,4.1,5.0,11.8,11.3,27.5,59.5,116.7,204.5,319.0,526.9,735.8,"1,196.9","1,635.3","2,051.7","2,696.8",,,,-,16.1,219.6,145.8
