,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
22,23,"Nasal cavity, middle ear and accessory sinuses",-,-,-,1,1,1,1,-,2,2,2,5,1,4,3,4,2,2,-,31,0.3,,,,
23,23,Melanoma of skin,-,-,-,-,-,-,-,-,5,5,2,1,3,2,1,7,2,3,-,31,0.3,,,,
24,25,Penis / other male genital,-,-,-,-,-,-,-,-,1,2,1,3,1,1,5,7,1,2,-,24,0.2,,,,
25,26,Hodgkin lymphoma,-,-,1,2,2,3,2,1,1,2,2,1,-,1,3,1,1,-,-,23,0.2,,,,
26,27,Small intestine,-,-,-,-,-,-,-,1,-,2,1,3,1,2,-,7,2,1,-,20,0.2,,,,
27,28,Breast,-,-,-,-,-,-,1,-,-,-,-,-,2,4,2,4,2,-,-,15,0.1,,,,
28,29,Mesothelioma,-,-,-,-,-,-,-,-,-,1,-,4,1,2,3,1,1,1,-,14,0.1,,,,
29,29,Other endocrine glands,2,1,1,2,2,-,1,-,1,1,-,-,1,-,1,-,-,1,-,14,0.1,,,,
30,31,Eye,2,1,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,6,0.1,,,,
31,32,Kaposi sarcoma,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,4,0.0,,,,
32,-,Other and unspecified,1,1,-,-,-,1,1,3,4,18,24,24,33,49,76,72,57,38,-,402,3.4,,,,
33,-,All sites,34,19,27,40,52,83,105,207,473,721,914,"1,002","1,160","1,554","1,970","1,636","1,012",683,4,"11,696",100.0,,,,
0,,Lung,-,-,-,0.5,-,0.9,2.0,8.1,15.9,37.0,76.5,130.1,241.0,315.3,503.2,645.3,708.0,764.7,,,,1,6.7,83.9,55.9
1,,Colorectum,-,-,-,-,1.8,3.1,4.0,8.1,19.8,32.6,51.4,104.9,135.7,195.8,305.4,410.3,459.9,497.7,,,,2,4.3,56.1,37.3
2,,Liver,2.4,-,-,1.4,0.5,1.8,4.0,8.5,21.3,41.4,65.7,92.0,121.3,131.3,155.5,180.9,144.7,217.2,,,,3,3.2,38.8,27.6
3,,Prostate,-,-,-,-,-,-,-,-,0.3,0.7,3.3,16.0,62.7,117.1,206.1,237.9,268.7,298.6,,,,4,2.0,25.3,16.2
4,,Nasopharynx,-,-,0.5,0.5,1.4,8.3,10.9,20.5,30.0,45.7,41.0,46.6,34.5,34.6,35.9,25.6,18.1,27.1,,,,5,1.6,20.7,14.8
5,,Stomach,-,-,-,0.5,-,1.8,-,3.5,8.4,10.8,18.4,31.3,46.6,80.2,82.8,123.9,178.3,267.0,,,,6,1.4,19.5,13.1
6,,Bladder,-,-,-,-,-,0.4,0.8,-,1.2,5.0,10.5,19.0,25.7,49.5,87.4,129.6,152.5,176.5,,,,7,1.0,14.0,8.9
7,,Oesophagus,-,-,-,-,-,-,-,0.4,2.1,8.1,16.7,21.5,42.6,44.0,62.6,58.4,62.0,36.2,,,,8,1.0,11.0,7.7
8,,Non-Hodgkin lymphoma,2.4,0.5,0.5,4.1,1.8,0.9,1.2,3.2,7.5,8.1,14.2,19.0,22.5,28.3,41.4,25.6,82.7,104.1,,,,9,0.8,10.1,7.4
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,0.5,-,1.4,1.3,1.2,1.8,4.8,7.4,15.5,16.0,28.9,33.0,47.8,45.6,46.5,81.4,,,,10,0.8,9.6,6.8
10,,Leukaemia,12.2,2.6,1.8,1.8,2.7,3.9,3.2,2.5,5.7,8.1,7.5,9.8,9.6,14.2,23.9,27.1,46.5,13.6,,,,11,0.5,7.1,6.4
11,,Non-melanoma skin,-,-,0.5,-,-,-,1.2,2.8,2.7,4.0,7.5,9.8,18.5,18.1,27.6,52.7,46.5,117.6,,,,12,0.5,6.9,4.7
12,,Pancreas,-,-,-,-,-,-,-,0.4,1.2,3.7,8.4,17.2,18.5,22.0,33.1,42.7,54.3,81.4,,,,13,0.5,6.8,4.6
13,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,2.5,3.9,5.7,8.4,16.0,20.9,18.1,33.1,34.2,38.8,40.7,,,,14,0.5,6.6,4.6
14,,Larynx,-,-,-,-,-,-,-,-,0.6,2.0,6.3,12.9,26.5,26.7,25.8,32.8,31.0,18.1,,,,15,0.5,5.5,3.9
15,,Bone and soft tissue,3.3,0.5,2.3,3.2,2.7,3.5,2.4,2.1,3.3,2.7,3.3,4.9,7.2,4.7,6.4,12.8,25.8,18.1,,,,16,0.3,3.8,3.3
16,,Brain and other central nervous system,-,4.7,2.7,2.7,3.6,3.5,2.4,0.4,1.5,2.0,4.6,6.1,4.0,5.5,5.5,11.4,12.9,13.6,,,,17,0.2,3.4,3.1
17,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.4,0.6,0.3,2.1,4.3,6.4,12.6,21.2,49.9,28.4,49.8,,,,18,0.2,3.7,2.3
18,,Thyroid gland,-,-,0.9,0.5,0.5,0.4,2.8,2.5,4.2,5.0,3.8,5.5,6.4,8.6,5.5,8.5,5.2,4.5,,,,19,0.2,3.1,2.2
19,,Multiple myeloma,-,-,0.5,-,-,-,0.4,1.1,0.9,-,2.5,4.3,11.2,7.9,11.0,28.5,20.7,40.7,,,,20,0.2,2.9,2.0
20,,Testis,3.3,-,0.9,0.5,3.6,3.5,2.4,2.1,0.9,0.3,0.4,-,-,0.8,-,-,-,-,,,,21,0.1,1.3,1.5
21,,Thymus / other thoracic organs,-,-,0.5,0.5,0.9,0.4,0.8,0.4,0.9,0.7,0.4,2.5,5.6,1.6,4.6,-,5.2,4.5,,,,22,0.1,1.1,0.9
22,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,0.5,0.5,0.4,0.4,-,0.6,0.7,0.8,3.1,0.8,3.1,2.8,5.7,5.2,9.0,,,,23,0.1,1.0,0.7
23,,Melanoma of skin,-,-,-,-,-,-,-,-,1.5,1.7,0.8,0.6,2.4,1.6,0.9,10.0,5.2,13.6,,,,24,0.0,1.0,0.6
24,,Hodgkin lymphoma,-,-,0.5,0.9,0.9,1.3,0.8,0.4,0.3,0.7,0.8,0.6,-,0.8,2.8,1.4,2.6,-,,,,25,0.1,0.7,0.6
25,,Other endocrine glands,1.6,0.5,0.5,0.9,0.9,-,0.4,-,0.3,0.3,-,-,0.8,-,0.9,-,-,4.5,,,,26,0.0,0.4,0.6
26,,Penis / other male genital,-,-,-,-,-,-,-,-,0.3,0.7,0.4,1.8,0.8,0.8,4.6,10.0,2.6,9.0,,,,27,0.0,0.7,0.5
27,,Small intestine,-,-,-,-,-,-,-,0.4,-,0.7,0.4,1.8,0.8,1.6,-,10.0,5.2,4.5,,,,28,0.0,0.6,0.4
28,,Eye,1.6,0.5,-,-,-,-,-,0.4,-,-,0.4,-,0.8,-,-,-,-,-,,,,29,0.0,0.2,0.3
29,,Mesothelioma,-,-,-,-,-,-,-,-,-,0.3,-,2.5,0.8,1.6,2.8,1.4,2.6,4.5,,,,30,0.0,0.4,0.3
30,,Breast,-,-,-,-,-,-,0.4,-,-,-,-,-,1.6,3.1,1.8,5.7,5.2,-,,,,31,0.0,0.5,0.3
31,,Kaposi sarcoma,-,-,-,-,0.5,0.4,-,-,-,-,-,-,-,0.8,-,-,2.6,-,,,,32,0.0,0.1,0.1
32,,Other and unspecified,0.8,0.5,-,-,-,0.4,0.4,1.1,1.2,6.1,10.0,14.7,26.5,38.5,69.9,102.6,147.3,171.9,,,,-,0.9,12.3,8.0
33,,All sites,27.7,9.9,12.2,18.2,23.4,36.4,42.5,73.1,142.1,242.4,382.3,614.7,931.7,"1,221.7","1,812.3","2,330.5","2,615.0","3,090.5",,,,-,28.0,358.9,247.6
