,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
8,,Non-Hodgkin lymphoma,-,1.3,1.5,0.7,1.0,4.9,2.1,3.3,4.4,9.5,7.8,15.3,19.8,22.1,33.0,30.0,46.4,24.2,,,9,0.6,10.6,5.7
9,,Leukaemia,13.4,2.7,1.5,1.4,2.0,3.4,2.1,3.5,4.7,4.9,7.5,11.5,11.7,7.4,14.0,17.1,28.1,23.4,,,10,0.5,7.4,5.7
10,,Non-melanoma skin,-,-,-,-,0.5,-,1.5,1.4,2.9,5.2,9.0,10.7,17.8,21.7,30.4,57.8,70.2,106.7,,,11,0.5,12.7,5.0
11,,Liver,0.8,-,-,-,-,-,0.3,0.8,0.9,1.7,5.7,9.8,18.8,27.7,42.5,46.0,59.4,57.5,,,12,0.5,10.5,4.5
12,,Pancreas,-,-,-,-,-,-,0.6,1.1,1.2,2.3,7.2,9.5,15.7,21.7,41.9,50.3,68.0,51.4,,,13,0.5,10.2,4.3
13,,Kidney and other urinary organs except bladder,-,0.7,-,-,-,1.9,0.9,1.1,2.6,3.7,9.9,10.4,11.7,16.5,28.5,26.8,44.3,19.7,,,14,0.4,7.7,3.8
14,,"Lip, oral cavity and pharynx except nasopharynx",-,-,1.5,-,1.0,0.4,1.8,1.4,2.3,4.9,5.7,9.2,8.4,13.4,15.2,15.0,25.9,30.3,,,15,0.3,6.1,3.0
15,,Nasopharynx,-,-,-,-,-,1.1,3.4,3.5,7.9,6.6,8.7,9.2,10.4,5.2,6.3,4.3,4.3,3.0,,,16,0.3,5.0,3.0
16,,Bone and soft tissue,0.8,3.3,3.7,0.7,2.0,2.3,2.5,3.3,1.8,3.7,5.1,3.2,2.7,5.6,11.4,9.6,3.2,3.0,,,17,0.3,3.5,2.9
17,,Brain and other central nervous system,1.6,4.0,2.2,0.7,2.0,-,1.8,1.9,1.8,1.7,2.7,4.6,5.4,5.2,6.3,4.3,3.2,6.8,,,18,0.2,2.9,2.4
18,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,0.3,0.5,0.3,0.9,3.3,5.8,5.4,12.1,18.4,22.5,42.1,48.4,,,19,0.2,5.8,2.1
19,,Multiple myeloma,-,-,-,-,-,-,-,0.5,1.2,2.0,5.1,2.6,6.4,13.9,15.9,8.6,15.1,6.1,,,20,0.2,3.6,1.8
20,,Bladder,-,-,-,-,-,-,-,0.3,-,0.9,1.5,1.7,6.0,5.6,6.3,15.0,7.6,36.3,,,21,0.1,3.1,1.1
21,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,0.5,0.6,1.7,3.9,1.7,3.0,3.5,6.3,16.1,13.0,13.6,,,22,0.1,2.5,1.1
22,,Hodgkin lymphoma,-,-,0.7,1.4,3.0,1.1,1.5,1.4,0.3,0.3,0.3,0.9,0.3,0.9,0.6,3.2,1.1,0.8,,,23,0.1,0.9,0.9
23,,Oesophagus,-,-,-,-,-,-,-,0.5,-,-,0.3,0.6,2.3,8.7,8.2,13.9,13.0,11.3,,,24,0.1,2.1,0.9
24,,Small intestine,-,-,-,-,-,-,0.3,0.3,0.3,0.6,3.3,2.0,3.0,3.9,4.4,2.1,8.6,6.8,,,25,0.1,1.6,0.8
25,,Other endocrine glands,2.4,0.7,-,-,0.5,0.4,-,-,-,0.9,0.3,0.3,1.0,-,1.9,2.1,-,-,,,26,0.0,0.5,0.6
26,,Melanoma of skin,-,-,-,-,-,-,0.3,0.5,1.8,0.9,1.5,0.9,1.7,2.2,2.5,4.3,-,3.0,,,27,0.1,1.0,0.6
27,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,1.2,0.3,1.2,1.3,1.3,2.5,1.1,-,3.0,,,28,0.0,0.6,0.3
28,,Thymus / other thoracic organs,-,-,-,-,0.5,0.4,-,-,-,0.6,-,0.6,0.7,1.3,2.5,2.1,1.1,-,,,29,0.0,0.4,0.3
29,,Mesothelioma,-,-,-,-,-,-,-,-,-,0.3,0.6,0.6,1.3,0.9,0.6,1.1,-,1.5,,,30,0.0,0.4,0.2
30,,Larynx,-,-,-,-,-,-,-,-,-,0.6,0.6,0.6,0.7,0.4,1.3,2.1,-,-,,,31,0.0,0.3,0.2
31,,Eye,-,-,-,-,-,-,-,-,-,0.6,0.3,0.3,-,-,-,-,-,2.3,,,32,0.0,0.2,0.1
32,,"Uterus, unspecified",-,-,-,-,-,-,-,-,-,0.3,-,-,0.3,0.4,-,-,-,-,,,33,0.0,0.1,0.0
33,,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,1.5,,,34,-,0.1,0.0
34,,Other and unspecified,1.6,-,2.2,-,1.0,0.8,0.3,1.4,1.8,2.6,6.3,5.8,8.4,7.4,10.1,23.6,37.8,72.6,,,-,0.2,6.9,3.0
35,,All sites,20.5,13.4,14.0,14.5,34.6,55.4,79.2,149.2,265.6,414.4,542.1,627.1,762.8,838.8,"1,015.9","1,208.8","1,392.0","1,314.7",,,-,24.2,426.0,221.9
