,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
29,29,Other endocrine glands,5,2,-,4,1,2,-,-,1,-,-,-,2,1,1,1,-,-,20,0.1,,,,
30,31,Kaposi sarcoma,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,1,4,0.0,,,,
31,31,Eye,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,4,0.0,,,,
32,-,Other and unspecified,1,1,-,2,2,-,1,4,7,8,17,28,34,49,38,57,61,46,356,2.4,,,,
33,-,All sites,46,15,22,38,59,84,113,205,357,608,"1,119","1,686","2,012","1,940","1,830","2,082","1,585","1,113","14,914",100.0,,,,
0,,Lung,-,-,-,-,0.4,0.9,2.2,6.5,13.3,28.4,57.4,99.6,189.2,268.3,417.4,505.0,536.8,532.9,,,1,5.4,89.9,44.4
1,,Colorectum,-,-,-,0.5,1.3,5.4,7.8,8.7,25.9,37.3,64.4,120.2,166.9,248.2,295.0,401.4,466.1,414.0,,,2,4.9,82.2,41.8
2,,Prostate,-,-,-,-,-,0.5,-,0.4,1.3,2.6,13.1,38.1,96.9,211.2,281.3,307.8,292.9,314.2,,,3,3.2,49.7,24.4
3,,Liver,3.0,0.8,-,0.5,1.8,0.9,2.6,9.6,12.5,26.6,48.8,82.9,109.1,127.8,139.7,130.5,142.9,140.1,,,4,2.8,42.3,23.2
4,,Nasopharynx,-,-,0.7,1.0,0.9,5.9,9.1,19.6,29.6,38.0,33.5,35.9,32.7,26.2,21.9,30.9,26.0,14.9,,,5,1.3,19.7,12.6
5,,Stomach,-,-,-,0.5,0.9,-,1.3,1.7,2.9,6.3,11.2,24.2,40.0,56.5,80.4,104.6,140.0,150.7,,,6,1.1,20.1,9.8
6,,Non-Hodgkin lymphoma,1.5,1.6,2.0,1.0,3.5,1.4,1.7,5.2,8.8,11.4,13.4,24.9,28.2,41.7,47.5,64.7,62.0,53.1,,,7,1.0,15.3,8.8
7,,Leukaemia,16.4,3.1,5.4,2.9,4.0,2.7,3.4,3.9,3.3,6.3,7.3,12.1,12.7,20.2,21.0,22.9,44.7,46.7,,,8,0.6,9.3,7.6
8,,Non-melanoma skin,-,-,-,-,-,-,1.7,1.7,5.0,14.4,17.2,17.1,27.7,30.9,40.2,70.7,89.5,129.5,,,9,0.8,15.2,7.6
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,0.7,-,0.4,1.4,1.7,4.8,7.1,8.1,13.7,21.3,28.6,32.3,39.3,41.8,47.6,38.2,,,10,0.8,12.3,6.8
10,,Kidney and other urinary organs except bladder,2.2,-,0.7,-,-,0.5,2.2,2.2,8.8,7.4,12.1,20.3,26.8,35.0,27.4,30.9,36.1,38.2,,,11,0.7,11.0,6.4
11,,Oesophagus,-,-,-,-,-,-,-,0.4,2.1,3.7,7.3,18.1,25.5,33.6,37.4,42.8,40.4,59.4,,,12,0.6,10.1,5.2
12,,Pancreas,-,-,-,-,-,0.5,-,1.3,2.5,4.4,10.8,11.4,20.5,35.6,34.7,40.8,49.1,53.1,,,13,0.6,9.7,5.0
13,,Bladder,-,-,-,-,-,-,0.4,-,0.4,1.5,2.9,5.7,16.8,25.6,37.4,62.7,79.4,95.5,,,14,0.5,9.3,4.2
14,,Thyroid gland,-,-,-,1.4,2.7,4.1,4.3,3.9,6.3,6.6,8.9,8.9,9.1,4.7,6.4,12.0,8.7,6.4,,,15,0.3,5.3,3.6
15,,Brain and other central nervous system,1.5,1.6,0.7,3.4,1.8,2.7,2.2,2.2,2.5,3.7,4.8,6.0,5.9,6.1,9.1,7.0,4.3,6.4,,,16,0.3,3.8,2.9
16,,Larynx,-,-,-,-,-,-,-,-,0.4,1.1,3.5,8.2,11.8,17.5,32.0,25.9,15.9,34.0,,,17,0.4,5.3,2.7
17,,Bone and soft tissue,0.7,1.6,3.4,0.5,0.9,-,1.3,4.4,2.9,3.3,4.5,4.3,4.5,8.1,8.2,13.9,5.8,31.8,,,18,0.2,3.9,2.7
18,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,0.8,0.7,2.2,7.1,10.5,13.4,21.0,46.8,49.1,38.2,,,19,0.3,5.9,2.6
19,,Testis,0.7,0.8,-,1.0,3.5,5.0,4.3,6.5,4.2,2.2,0.3,0.4,0.5,-,-,-,1.4,2.1,,,20,0.1,2.1,2.0
20,,Multiple myeloma,-,-,-,-,-,-,-,-,0.4,2.2,1.0,8.2,10.9,8.7,16.4,19.9,21.6,23.4,,,21,0.2,4.0,2.0
21,,Small intestine,-,-,-,-,-,-,-,0.4,1.3,1.1,2.9,3.2,9.1,2.7,2.7,9.0,8.7,8.5,,,22,0.1,2.1,1.1
22,,Hodgkin lymphoma,0.7,-,0.7,2.9,0.4,2.7,0.9,0.9,-,0.4,2.2,0.7,0.5,2.0,0.9,2.0,4.3,-,,,23,0.1,1.2,1.1
23,,Other endocrine glands,3.7,1.6,-,1.9,0.4,0.9,-,-,0.4,-,-,-,0.9,0.7,0.9,1.0,-,-,,,24,0.1,0.6,1.0
24,,Thymus / other thoracic organs,1.5,-,0.7,-,1.8,1.8,0.9,0.4,0.8,0.4,1.0,1.4,1.4,0.7,1.8,1.0,1.4,-,,,25,0.1,1.0,0.9
25,,Melanoma of skin,-,-,-,-,-,0.9,-,1.7,0.4,1.1,1.9,4.3,2.3,4.0,3.7,4.0,2.9,6.4,,,26,0.1,1.6,0.9
26,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,0.4,-,0.8,1.1,2.2,2.5,2.3,4.0,3.7,4.0,-,4.2,,,27,0.1,1.2,0.7
27,,Penis / other male genital,-,-,-,-,-,-,-,0.4,0.8,0.4,0.6,1.1,4.1,2.7,6.4,6.0,7.2,8.5,,,28,0.1,1.3,0.7
28,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1.6,0.7,2.3,1.3,0.9,4.0,13.0,8.5,,,29,0.0,1.0,0.4
29,,Breast,-,-,-,-,-,-,-,0.4,0.4,0.4,0.6,1.1,1.8,1.3,0.9,2.0,1.4,4.2,,,30,0.0,0.6,0.3
30,,Eye,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,1.0,-,-,,,31,0.0,0.1,0.2
31,,Kaposi sarcoma,-,-,-,-,0.4,-,-,-,-,0.4,-,-,-,0.7,-,-,-,2.1,,,32,0.0,0.1,0.1
32,,Other and unspecified,0.7,0.8,-,1.0,0.9,-,0.4,1.7,2.9,3.0,5.4,10.0,15.5,33.0,34.7,56.8,88.0,97.7,,,-,0.5,10.7,5.3
33,,All sites,34.3,11.7,14.7,18.2,26.1,37.9,48.7,89.3,148.9,224.5,356.6,599.8,915.0,"1,304.6","1,671.2","2,073.7","2,287.2","2,363.1",,,-,27.5,447.9,239.0
