,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
11,,Leukaemia,7.4,0.8,2.7,1.4,1.7,1.7,3.9,4.2,5.1,5.6,4.9,5.9,10.3,6.6,10.1,19.0,23.5,24.0,,,12,0.4,5.7,4.5
12,,Nasopharynx,-,-,-,-,0.8,1.3,3.9,8.1,9.9,9.0,11.1,7.5,12.1,6.6,16.0,19.0,5.2,5.3,,,13,0.4,6.4,4.1
13,,"Lip, oral cavity and pharynx except nasopharynx",0.9,-,-,0.5,1.3,1.7,1.6,3.6,3.3,3.9,5.5,6.3,12.1,19.0,11.0,14.2,20.9,13.3,,,14,0.4,4.8,3.2
14,,Kidney and other urinary organs except bladder,0.9,-,-,-,0.4,-,0.6,0.6,2.7,4.8,4.9,7.5,15.7,13.3,18.6,26.5,27.4,20.0,,,15,0.4,5.2,3.1
15,,Pancreas,-,-,-,-,-,-,-,0.3,0.9,3.4,4.2,6.3,12.1,13.3,22.8,46.4,39.2,41.3,,,16,0.3,5.8,2.9
16,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,1.1,2.0,2.5,8.4,15.2,24.5,31.3,49.6,44.0,,,17,0.3,4.9,2.3
17,,Brain and other central nervous system,5.5,0.8,0.5,0.5,1.3,0.7,1.3,0.3,1.5,3.4,2.0,2.9,3.6,7.6,6.8,4.7,5.2,-,,,18,0.2,2.2,2.2
18,,Bone and soft tissue,-,0.8,1.1,3.3,2.1,2.0,1.3,2.4,2.4,1.7,4.6,3.3,6.0,2.8,1.7,11.4,5.2,6.7,,,19,0.2,2.8,2.2
19,,Multiple myeloma,-,-,-,-,-,-,-,0.3,0.3,1.4,2.9,2.9,3.6,8.5,12.7,15.2,17.0,14.7,,,20,0.2,2.5,1.3
20,,Bladder,-,-,-,-,-,-,-,-,0.3,0.6,0.7,2.1,3.0,8.5,12.7,14.2,17.0,40.0,,,21,0.1,2.6,1.2
21,,"Vagina, vulva and other female genital",0.9,-,-,-,0.4,-,0.3,0.9,0.3,1.4,1.3,2.5,3.0,8.5,4.2,8.5,13.1,20.0,,,22,0.1,2.0,1.2
22,,Oesophagus,-,-,-,-,-,-,-,0.3,-,-,0.7,1.3,3.6,4.7,11.0,9.5,13.1,24.0,,,23,0.1,1.8,0.9
23,,Hodgkin lymphoma,-,-,-,2.4,1.7,0.7,1.3,1.5,0.3,0.6,0.3,-,-,-,-,1.9,-,-,,,24,0.0,0.7,0.7
24,,Thymus / other thoracic organs,-,-,-,-,0.4,0.3,0.3,1.2,0.6,0.8,2.0,0.8,1.8,0.9,1.7,2.8,1.3,-,,,25,0.1,0.8,0.5
25,,Melanoma of skin,-,-,-,-,-,0.3,-,0.3,0.9,0.6,2.0,-,2.4,0.9,0.8,5.7,7.8,5.3,,,26,0.0,0.9,0.5
26,,Other endocrine glands,2.8,-,0.5,-,-,-,0.3,-,0.3,-,0.7,-,-,0.9,-,-,-,-,,,27,0.0,0.2,0.5
27,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,0.5,-,-,0.3,0.3,-,0.8,0.3,0.8,1.8,2.8,2.5,0.9,2.6,1.3,,,28,0.1,0.6,0.4
28,,Small intestine,-,-,-,-,-,-,-,-,-,1.4,0.7,2.1,0.6,0.9,2.5,4.7,3.9,6.7,,,29,0.0,0.8,0.4
29,,Eye,1.8,-,-,-,-,-,-,-,-,-,-,0.4,0.6,-,-,1.9,-,-,,,30,0.0,0.2,0.3
30,,Larynx,-,-,-,-,-,-,-,-,-,0.3,0.7,0.4,1.2,-,0.8,0.9,2.6,1.3,,,31,0.0,0.3,0.2
31,,Mesothelioma,-,-,-,-,-,0.3,0.3,-,-,-,-,-,0.6,-,-,0.9,-,-,,,32,0.0,0.1,0.1
32,,Kaposi sarcoma,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-,-,,,33,0.0,0.0,0.0
33,,"Uterus, unspecified",-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-,-,,,34,0.0,0.0,0.0
34,,Other and unspecified,0.9,-,-,-,-,-,-,1.5,4.2,3.4,4.6,10.0,9.0,20.9,24.5,55.0,88.8,109.3,,,-,0.4,9.3,4.3
35,,All sites,25.9,2.4,9.9,14.8,25.1,44.7,77.2,145.6,241.6,349.6,476.4,506.3,631.5,722.7,936.7,"1,225.6","1,488.3","1,638.7",,,-,21.1,333.4,197.6
