,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
25,26,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,3,4,7,3,5,4,4,4,2,36,0.2,,,,
26,27,Thymus / other thoracic organs,-,1,1,2,2,1,2,-,1,2,3,3,4,4,-,1,2,-,29,0.2,,,,
27,28,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,2,2,5,3,1,1,2,17,0.1,,,,
28,29,Other endocrine glands,2,1,2,1,1,2,1,1,2,1,-,-,1,1,-,-,-,-,16,0.1,,,,
29,30,Breast,-,-,-,-,-,-,-,-,1,1,3,2,2,2,1,2,-,1,15,0.1,,,,
30,31,Eye,3,-,-,-,-,-,-,-,-,-,-,2,1,-,1,1,-,1,9,0.1,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,-,1,1,-,2,1,-,1,1,1,-,-,-,8,0.0,,,,
32,-,Other and unspecified,1,-,-,1,1,1,3,2,7,7,15,31,40,32,40,37,47,48,313,2.0,,,,
33,-,All sites,31,27,22,28,62,78,133,206,332,531,"1,029","1,797","2,264","2,626","1,991","1,984","1,622","1,272","16,035",100.0,,,,
0,,Colorectum,-,-,-,-,1.4,2.2,6.9,13.2,24.7,38.7,64.5,115.4,190.5,269.2,345.8,420.9,469.6,449.2,,,1,5.4,93.9,44.6
1,,Lung,-,-,-,-,1.4,0.4,2.1,3.5,10.2,30.8,62.1,109.5,174.9,266.2,396.6,422.9,514.2,422.0,,,2,5.3,91.4,42.3
2,,Prostate,-,-,-,-,-,-,-,-,0.4,2.5,12.3,35.9,108.2,219.8,311.9,317.2,321.2,261.0,,,3,3.5,56.6,25.5
3,,Liver,0.7,-,-,-,0.5,1.8,2.1,9.6,13.6,20.0,43.4,74.0,113.5,112.5,131.9,123.5,113.4,116.9,,,4,2.6,41.2,21.1
4,,Nasopharynx,-,-,0.8,0.6,1.4,3.1,12.4,14.5,23.0,33.3,31.4,33.6,33.6,24.9,24.1,18.8,13.5,15.3,,,5,1.2,17.7,11.3
5,,Stomach,0.7,-,-,-,-,0.4,1.3,2.2,3.0,6.2,12.6,27.4,39.7,58.0,81.1,122.5,124.2,133.9,,,6,1.2,22.2,10.1
6,,Non-Hodgkin lymphoma,0.7,2.6,3.0,4.5,3.2,3.5,4.7,5.7,8.1,10.8,11.6,23.1,30.7,38.7,55.3,75.1,54.0,57.6,,,7,1.0,16.9,9.6
7,,Non-melanoma skin,-,-,-,-,0.5,0.4,0.9,4.4,9.8,14.6,13.0,18.6,27.0,36.6,41.0,64.2,95.8,132.2,,,8,0.8,16.7,8.0
8,,Kidney and other urinary organs except bladder,2.1,1.3,-,-,0.5,0.4,1.7,3.1,7.2,8.3,15.0,17.9,23.4,38.2,37.4,39.5,43.2,49.2,,,9,0.8,12.7,6.8
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,0.5,2.2,1.7,3.5,6.0,8.7,20.8,24.1,22.9,34.1,35.7,34.6,20.2,35.6,,,10,0.8,12.5,6.7
10,,Leukaemia,5.5,5.3,6.0,2.3,3.2,2.2,2.6,3.5,5.5,5.8,6.1,11.1,12.3,17.8,30.3,27.7,31.0,39.0,,,11,0.6,9.1,6.4
11,,Pancreas,-,-,-,-,-,-,1.3,1.8,2.1,5.8,8.9,13.0,30.3,39.7,35.7,45.5,48.6,50.8,,,12,0.7,11.7,5.7
12,,Oesophagus,-,-,-,-,-,0.4,-,-,1.3,4.6,7.5,15.3,29.5,39.2,40.1,30.6,52.6,27.1,,,13,0.7,10.8,5.2
13,,Bladder,-,-,-,-,-,-,-,0.4,-,0.8,3.4,4.9,14.7,19.3,47.2,46.4,78.3,103.4,,,14,0.5,9.5,3.9
14,,Thyroid gland,-,-,-,-,4.1,1.3,2.6,9.2,9.0,7.5,11.6,7.8,4.1,13.7,9.8,8.9,2.7,3.4,,,15,0.4,5.8,3.9
15,,Brain and other central nervous system,5.5,5.3,2.3,0.6,1.8,2.6,2.6,1.8,2.6,4.2,3.8,4.6,5.7,6.6,7.1,10.9,8.1,5.1,,,16,0.3,4.0,3.6
16,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,0.9,-,0.4,0.4,0.8,3.1,7.2,11.1,17.3,26.7,33.6,43.2,66.1,,,17,0.3,6.9,3.0
17,,Bone and soft tissue,0.7,2.0,1.5,3.4,1.4,3.1,2.1,2.2,3.4,2.1,1.4,4.2,7.8,7.6,9.8,10.9,16.2,15.3,,,18,0.3,4.1,2.9
18,,Larynx,-,-,-,-,-,-,-,-,1.3,2.1,2.7,10.1,10.7,18.8,24.1,17.8,24.3,15.3,,,19,0.3,5.4,2.6
19,,Testis,1.4,-,-,0.6,5.9,6.6,6.0,5.3,2.1,-,1.0,1.0,0.8,-,0.9,-,-,-,,,20,0.2,2.1,2.2
20,,Multiple myeloma,-,-,-,-,-,-,-,-,1.3,1.2,1.0,4.2,8.2,15.3,19.6,25.7,17.5,18.6,,,21,0.3,4.3,2.0
21,,Hodgkin lymphoma,-,-,0.8,1.7,0.9,0.9,2.6,3.1,-,0.4,2.4,0.3,0.8,2.0,2.7,1.0,6.7,3.4,,,22,0.1,1.4,1.1
22,,Small intestine,-,-,-,-,-,-,0.4,0.4,0.4,1.7,1.0,4.6,1.6,5.6,8.0,7.9,6.7,11.9,,,23,0.1,2.0,1.0
23,,Thymus / other thoracic organs,-,0.7,0.8,1.1,0.9,0.4,0.9,-,0.4,0.8,1.0,1.0,1.6,2.0,-,1.0,2.7,-,,,24,0.1,0.9,0.7
24,,Melanoma of skin,-,-,-,-,-,-,-,0.4,1.3,2.5,0.3,0.7,1.6,4.1,3.6,4.9,4.0,15.3,,,25,0.1,1.4,0.7
25,,Other endocrine glands,1.4,0.7,1.5,0.6,0.5,0.9,0.4,0.4,0.9,0.4,-,-,0.4,0.5,-,-,-,-,,,26,0.0,0.5,0.7
26,,Penis / other male genital,-,-,-,-,-,-,-,0.4,-,0.8,1.0,2.0,1.6,5.6,3.6,4.0,6.7,16.9,,,27,0.1,1.5,0.7
27,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,1.2,1.4,2.3,1.2,2.5,3.6,4.0,5.4,3.4,,,28,0.1,1.1,0.5
28,,Eye,2.1,-,-,-,-,-,-,-,-,-,-,0.7,0.4,-,0.9,1.0,-,1.7,,,29,0.0,0.3,0.3
29,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,0.3,0.7,0.8,2.5,2.7,1.0,1.3,3.4,,,30,0.0,0.5,0.2
30,,Breast,-,-,-,-,-,-,-,-,0.4,0.4,1.0,0.7,0.8,1.0,0.9,2.0,-,1.7,,,31,0.0,0.4,0.2
31,,Kaposi sarcoma,-,-,-,-,-,-,0.4,0.4,-,0.8,0.3,-,0.4,0.5,0.9,-,-,-,,,32,0.0,0.2,0.2
32,,Other and unspecified,0.7,-,-,0.6,0.5,0.4,1.3,0.9,3.0,2.9,5.1,10.1,16.4,16.3,35.7,36.6,63.4,81.4,,,-,0.5,9.3,4.3
33,,All sites,21.4,17.9,16.6,15.9,28.1,34.3,57.1,90.4,141.5,221.1,351.3,585.7,927.5,"1,336.4","1,774.5","1,960.5","2,188.9","2,155.9",,,-,28.1,475.1,237.9
