,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
23,,Hodgkin lymphoma,-,-,0.5,0.5,0.8,2.7,0.6,0.9,0.9,0.9,0.7,-,0.7,0.9,1.7,1.0,2.7,-,,,,24,0.1,0.9,0.7
24,,Thymus / other thoracic organs,-,-,-,-,-,-,0.6,0.3,2.3,0.9,1.0,1.7,0.7,0.9,3.3,2.0,1.3,-,,,,25,0.1,0.8,0.5
25,,Melanoma of skin,-,-,-,-,-,0.3,0.3,0.6,0.9,1.7,1.7,-,2.0,-,1.7,2.9,-,5.7,,,,26,0.0,0.8,0.5
26,,Small intestine,-,-,-,-,-,-,-,-,0.6,0.3,1.4,0.4,2.7,1.9,3.3,2.9,5.4,5.7,,,,27,0.1,0.8,0.5
27,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,0.3,-,0.6,0.9,0.9,1.4,0.9,2.0,0.9,0.8,2.0,1.3,1.4,,,,28,0.0,0.7,0.4
28,,Other endocrine glands,2.9,-,0.5,-,-,-,-,-,-,0.3,-,-,-,-,0.8,-,-,-,,,,29,0.0,0.2,0.4
29,,Eye,2.9,-,-,-,-,-,0.6,-,0.3,-,-,-,-,-,0.8,-,-,-,,,,30,0.0,0.2,0.4
30,,Larynx,-,-,-,-,0.4,-,-,0.3,-,-,-,-,-,0.9,0.8,1.0,1.3,4.2,,,,31,0.0,0.2,0.1
31,,Mesothelioma,-,-,-,-,-,-,0.6,-,-,0.3,0.3,-,-,0.9,0.8,-,1.3,-,,,,32,0.0,0.2,0.1
32,,"Uterus, unspecified",-,-,-,-,-,-,-,-,-,-,-,-,0.7,-,-,1.0,1.3,-,,,,33,0.0,0.1,0.0
33,,Placenta,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,,,,34,0.0,0.0,0.0
34,,Other and unspecified,2.9,-,-,-,0.8,0.7,1.0,2.4,3.2,4.6,8.8,10.5,18.9,18.7,30.9,43.2,72.8,121.6,,,,-,0.5,9.9,5.3
35,,All sites,22.8,9.7,10.9,16.8,19.3,45.4,75.2,134.4,246.8,336.6,452.5,498.3,565.7,687.2,894.6,"1,158.2","1,479.8","1,574.3",,,,-,20.1,313.4,189.5
