,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
21,,Multiple myeloma,-,-,-,-,-,0.4,-,-,0.6,1.0,1.7,2.7,5.6,4.1,14.4,15.0,13.7,18.1,,,,22,0.2,2.0,1.3
22,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,0.3,0.6,1.7,2.6,2.0,0.9,2.5,9.9,5.8,6.8,20.1,,,,23,0.1,1.5,0.9
23,,Hodgkin lymphoma,-,-,-,0.5,1.7,1.1,0.3,-,0.3,0.3,0.9,0.7,0.9,1.6,-,-,-,-,,,,24,0.0,0.5,0.5
24,,Other endocrine glands,2.6,-,-,-,0.4,-,0.3,-,-,-,0.4,-,0.9,-,-,-,-,-,,,,25,0.0,0.2,0.4
25,,Thymus / other thoracic organs,-,-,-,-,-,-,-,0.6,1.1,1.7,0.9,2.0,-,1.6,-,-,1.7,4.0,,,,26,0.0,0.6,0.4
26,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,0.4,-,0.3,1.1,-,0.4,0.7,1.9,1.6,2.7,2.3,1.7,-,,,,27,0.0,0.5,0.4
27,,Small intestine,-,-,-,-,-,0.4,-,-,-,-,1.7,-,-,1.6,0.9,5.8,1.7,8.0,,,,28,0.0,0.5,0.3
28,,Melanoma of skin,-,-,-,-,-,-,-,-,0.6,0.3,0.4,-,0.9,2.5,0.9,1.2,-,8.0,,,,29,0.0,0.4,0.3
29,,"Uterus, unspecified",-,-,-,-,-,-,-,0.3,-,0.7,0.9,2.0,-,-,-,-,1.7,6.0,,,,30,0.0,0.3,0.2
30,,Eye,0.9,-,-,-,-,-,-,0.3,-,-,-,0.7,-,-,-,-,-,2.0,,,,31,0.0,0.1,0.2
31,,Larynx,-,-,-,-,-,-,-,-,-,0.3,0.9,0.7,-,-,0.9,1.2,-,4.0,,,,32,0.0,0.2,0.1
32,,Placenta,-,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,33,0.0,0.0,0.0
33,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,-,2.0,,,,34,-,0.1,0.0
34,,Other and unspecified,-,-,-,-,-,-,0.6,2.5,2.5,6.0,7.7,13.3,9.3,28.6,40.5,86.3,97.6,134.5,,,,-,0.6,10.5,5.7
35,,All sites,15.7,6.1,9.6,16.6,18.3,36.8,66.8,123.1,219.4,333.4,393.6,494.3,525.6,714.4,921.8,"1,188.7","1,496.6","1,771.1",,,,-,19.5,276.3,182.5
