,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
26,27,Penis / other male genital,-,-,-,-,-,-,-,1,-,4,-,1,3,2,1,3,1,3,-,19,0.1,,,,
27,28,Other endocrine glands,4,-,-,1,2,2,-,1,-,2,-,1,-,2,-,1,-,-,-,16,0.1,,,,
28,29,Mesothelioma,-,-,-,-,-,1,-,-,-,2,3,-,1,4,1,-,-,-,-,12,0.1,,,,
29,30,Breast,-,-,-,-,-,-,1,-,-,1,1,1,-,3,4,-,-,-,-,11,0.1,,,,
30,31,Eye,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,7,0.1,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
32,-,Other and unspecified,-,-,-,1,-,1,1,4,6,13,29,27,33,36,51,70,57,46,-,375,2.9,,,,
33,-,All sites,30,22,31,31,47,66,143,205,393,770,"1,033","1,200","1,169","1,594","2,098","1,903","1,227",786,5,"12,753",100.0,,,,
0,,Lung,-,-,0.5,-,-,-,4.6,7.7,11.8,36.5,73.5,115.0,233.5,295.5,491.1,640.3,718.8,666.7,,,,1,6.3,88.2,53.3
1,,Colorectum,-,-,-,-,-,4.0,7.1,8.1,19.7,35.2,58.7,89.9,171.6,217.3,378.1,438.6,524.6,526.3,,,,2,4.9,68.2,41.6
2,,Liver,2.7,-,0.5,0.9,0.4,1.3,5.4,8.5,16.4,39.2,67.4,83.8,119.1,128.6,166.4,154.3,162.9,182.5,,,,3,3.2,40.7,26.7
3,,Prostate,-,-,-,-,-,-,-,-,-,0.6,7.2,24.2,58.8,156.5,238.4,292.8,283.5,308.8,,,,4,2.4,32.7,19.1
4,,Nasopharynx,-,-,-,-,2.2,2.2,13.0,20.6,30.6,39.9,49.2,41.9,27.4,35.9,30.2,34.0,22.3,21.1,,,,5,1.5,21.2,14.1
5,,Stomach,-,-,-,-,0.4,-,-,4.0,5.6,10.2,17.4,24.7,46.2,71.9,91.6,109.4,180.8,178.9,,,,6,1.4,19.4,11.8
6,,Non-Hodgkin lymphoma,0.9,1.2,2.4,1.8,2.2,3.1,2.1,3.6,3.3,9.9,9.1,20.0,25.1,42.3,48.0,49.8,49.1,73.7,,,,7,0.9,11.3,7.8
7,,Leukaemia,14.5,7.4,3.8,3.6,1.8,2.2,3.8,5.6,3.3,4.0,3.0,9.3,20.4,22.4,19.6,26.7,29.0,28.1,,,,8,0.6,7.5,7.4
8,,Oesophagus,-,-,-,-,-,-,-,-,3.0,4.6,13.6,26.1,31.3,42.3,43.6,70.5,78.1,80.7,,,,9,0.8,11.4,7.1
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,0.9,-,-,4.2,4.0,4.6,7.7,13.6,19.6,32.9,29.6,36.5,36.5,44.6,28.1,,,,10,0.8,9.7,6.4
10,,Bladder,-,-,-,-,-,-,-,0.4,0.7,2.2,6.1,8.8,14.9,31.2,56.9,82.6,156.3,136.8,,,,11,0.6,10.5,5.8
11,,Non-melanoma skin,-,-,-,-,-,-,2.1,3.2,5.6,7.1,8.3,9.8,19.6,22.4,36.5,58.3,64.7,129.8,,,,12,0.6,9.4,5.7
12,,Kidney and other urinary organs except bladder,-,0.6,-,-,-,0.4,-,1.6,3.6,4.9,9.8,20.5,19.6,20.8,33.8,35.2,33.5,49.1,,,,13,0.6,7.6,4.9
13,,Pancreas,-,-,-,-,-,-,0.4,-,1.6,4.6,6.1,7.0,15.7,28.0,41.8,53.5,82.6,10.5,,,,14,0.5,7.3,4.3
14,,Larynx,-,-,-,-,-,0.4,-,0.4,0.7,1.2,6.1,8.8,11.8,24.8,34.7,43.7,31.3,38.6,,,,15,0.4,5.8,3.5
15,,Brain and other central nervous system,0.9,3.1,2.4,1.8,2.2,3.6,2.5,2.4,1.3,3.7,3.4,4.7,5.5,8.8,6.2,7.3,11.2,3.5,,,,16,0.3,3.4,3.0
16,,Bone and soft tissue,0.9,0.6,2.8,2.7,0.9,2.7,2.9,1.6,2.3,4.9,3.0,2.8,5.5,6.4,2.7,8.5,17.9,24.6,,,,17,0.2,3.4,2.7
17,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,0.4,-,1.3,2.2,2.3,6.1,8.6,13.6,17.8,32.8,58.0,63.2,,,,18,0.3,4.6,2.6
18,,Thyroid gland,-,-,-,0.4,0.9,2.2,4.6,2.8,3.0,4.6,5.3,6.5,6.3,6.4,7.1,4.9,8.9,3.5,,,,19,0.3,3.4,2.4
19,,Multiple myeloma,-,-,-,-,-,-,0.4,0.4,1.6,1.2,5.3,7.0,5.5,15.2,16.0,25.5,31.3,21.1,,,,20,0.3,3.8,2.3
20,,Testis,-,-,0.5,0.4,5.8,4.0,3.4,3.2,2.0,0.6,0.8,0.5,-,-,0.9,-,2.2,-,,,,21,0.1,1.6,1.5
21,,"Nasal cavity, middle ear and accessory sinuses",-,-,0.5,0.4,0.4,-,0.4,0.4,0.7,0.9,3.4,2.3,0.8,4.8,2.7,2.4,8.9,-,,,,22,0.1,1.2,0.8
22,,Small intestine,-,-,-,-,-,-,0.4,-,1.3,0.9,1.5,2.8,2.4,5.6,2.7,8.5,2.2,3.5,,,,23,0.1,1.2,0.8
23,,Other endocrine glands,3.6,-,-,0.4,0.9,0.9,-,0.4,-,0.6,-,0.5,-,1.6,-,1.2,-,-,,,,24,0.0,0.5,0.8
24,,Thymus / other thoracic organs,-,-,-,-,0.4,0.4,0.4,-,1.0,2.8,1.9,0.9,3.1,2.4,2.7,3.6,2.2,-,,,,25,0.1,1.1,0.8
25,,Hodgkin lymphoma,-,-,0.9,-,1.8,0.9,0.8,0.8,1.0,0.6,0.8,0.5,0.8,0.8,2.7,1.2,2.2,-,,,,26,0.1,0.8,0.7
26,,Melanoma of skin,-,-,0.5,-,0.4,-,-,0.4,1.3,0.6,1.9,1.4,0.8,2.4,7.1,-,2.2,3.5,,,,27,0.1,0.9,0.6
27,,Eye,3.6,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,-,3.5,,,,28,0.0,0.2,0.5
28,,Penis / other male genital,-,-,-,-,-,-,-,0.4,-,1.2,-,0.5,2.4,1.6,0.9,3.6,2.2,10.5,,,,29,0.0,0.6,0.4
29,,Mesothelioma,-,-,-,-,-,0.4,-,-,-,0.6,1.1,-,0.8,3.2,0.9,-,-,-,,,,30,0.0,0.4,0.3
30,,Breast,-,-,-,-,-,-,0.4,-,-,0.3,0.4,0.5,-,2.4,3.6,-,-,-,,,,31,0.0,0.3,0.2
31,,Kaposi sarcoma,-,-,-,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,-,,,,32,0.0,0.0,0.0
32,,Other and unspecified,-,-,-,0.4,-,0.4,0.4,1.6,2.0,4.0,11.0,12.6,25.9,28.8,45.4,85.1,127.2,161.4,,,,-,0.7,11.5,6.7
33,,All sites,27.2,13.6,14.7,13.9,20.8,29.5,59.9,82.7,129.1,237.9,391.3,558.9,916.1,"1,273.2","1,866.5","2,312.3","2,738.8","2,757.9",,,,-,28.2,390.0,246.6
