,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
18,19,Brain and other central nervous system,2,6,1,3,3,8,3,8,7,12,16,12,21,12,6,10,5,4,139,0.9,,,,
19,20,Multiple myeloma,-,-,-,-,-,-,-,-,1,5,13,22,20,14,17,17,15,6,130,0.9,,,,
20,21,Testis,1,-,-,4,14,17,13,8,8,5,3,-,-,1,-,-,-,-,74,0.5,,,,
21,22,Small intestine,-,-,-,-,-,-,-,1,3,1,7,9,6,10,5,7,4,9,62,0.4,,,,
22,23,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,3,6,4,9,6,8,5,9,50,0.3,,,,
23,24,Melanoma of skin,-,-,-,-,-,-,-,1,6,3,4,2,10,3,2,4,3,3,41,0.3,,,,
24,25,Hodgkin lymphoma,-,-,1,2,2,1,3,5,4,-,2,4,1,5,1,1,5,1,38,0.3,,,,
25,26,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,1,3,3,5,5,4,3,5,4,1,2,36,0.2,,,,
26,27,Thymus / other thoracic organs,1,-,-,1,-,-,3,1,2,2,6,6,1,2,1,1,1,-,28,0.2,,,,
27,28,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,5,9,1,19,0.1,,,,
28,29,Other endocrine glands,4,1,1,3,1,2,-,-,-,1,2,-,-,-,1,-,1,-,17,0.1,,,,
29,30,Breast,-,-,-,-,-,-,-,-,1,-,1,1,2,2,4,3,-,1,15,0.1,,,,
30,31,Eye,7,-,-,-,-,-,-,-,-,1,2,2,1,1,-,-,-,-,14,0.1,,,,
31,32,Kaposi sarcoma,-,-,-,-,1,2,1,1,1,2,-,-,-,-,-,1,-,-,9,0.1,,,,
32,-,Other and unspecified,3,1,-,-,1,1,-,2,5,7,18,35,30,37,29,61,54,47,331,2.2,,,,
33,-,All sites,39,20,18,33,52,75,117,198,376,592,"1,103","1,712","1,938","2,106","1,836","2,024","1,715","1,147","15,101",100.0,,,,
0,,Lung,-,-,-,-,-,-,1.7,4.4,16.7,30.2,55.7,102.5,173.6,279.1,380.5,506.5,543.0,477.0,,,1,5.2,90.1,43.2
1,,Colorectum,-,-,-,0.5,1.8,4.0,8.2,10.1,23.8,36.0,67.9,115.2,153.4,250.3,310.2,414.4,491.1,475.0,,,2,4.9,85.6,42.0
2,,Prostate,-,-,-,-,-,-,-,-,0.8,3.5,12.9,44.6,95.4,204.9,299.3,297.3,282.4,289.4,,,3,3.3,51.1,24.5
3,,Liver,1.5,-,-,0.5,0.9,2.2,3.4,4.4,18.4,22.5,45.1,76.5,98.0,117.8,135.9,135.1,150.1,133.7,,,4,2.6,40.9,21.6
4,,Nasopharynx,-,-,-,0.5,1.3,2.2,7.7,19.0,25.9,34.9,29.9,35.7,32.5,33.1,24.6,24.0,15.0,10.0,,,5,1.2,18.4,11.7
5,,Stomach,-,-,-,-,-,-,0.9,2.6,5.0,8.1,10.6,21.3,31.6,58.9,87.6,98.1,137.8,163.7,,,6,1.1,20.4,9.7
6,,Non-Hodgkin lymphoma,0.7,2.2,2.8,2.5,-,2.2,6.4,8.4,6.7,7.0,14.5,18.9,31.2,33.7,51.1,50.1,64.1,53.9,,,7,0.9,14.7,8.5
7,,Non-melanoma skin,-,-,-,-,0.4,-,0.9,4.9,7.5,18.6,12.9,18.5,25.9,39.3,30.1,52.1,83.2,145.7,,,8,0.8,15.4,7.8
8,,Kidney and other urinary organs except bladder,2.2,-,-,0.5,0.4,0.4,2.1,3.5,8.3,9.7,14.8,26.1,27.7,41.7,40.1,42.0,42.3,27.9,,,9,0.9,13.4,7.5
9,,Leukaemia,9.5,4.4,3.5,3.5,1.8,3.1,3.4,6.2,5.8,8.9,8.0,11.3,13.6,17.2,30.1,29.0,51.8,33.9,,,10,0.7,10.0,7.3
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,0.9,2.2,1.3,1.3,5.4,11.6,11.9,18.9,27.3,39.3,30.1,21.0,42.3,43.9,,,11,0.8,11.4,6.3
11,,Pancreas,-,-,-,-,0.4,-,-,1.3,1.7,4.7,9.7,14.7,23.3,26.4,44.7,42.0,75.0,39.9,,,12,0.6,10.6,5.2
12,,Oesophagus,-,-,-,-,-,-,-,0.4,1.3,2.7,9.3,12.3,23.3,35.0,38.3,42.0,55.9,45.9,,,13,0.6,10.0,4.9
13,,Bladder,-,-,-,-,-,-,-,0.4,1.3,0.8,4.2,7.5,15.8,14.7,42.9,68.1,73.7,95.8,,,14,0.4,9.5,4.1
14,,Bone and soft tissue,1.5,2.2,2.8,2.0,2.2,1.8,2.6,4.4,4.6,5.4,6.1,4.8,4.8,6.7,7.3,10.0,9.5,12.0,,,15,0.3,4.5,3.4
15,,Brain and other central nervous system,1.5,4.4,0.7,1.5,1.3,3.6,1.3,3.5,2.9,4.7,5.2,4.1,9.2,7.4,5.5,10.0,6.8,8.0,,,16,0.3,4.2,3.2
16,,Thyroid gland,-,-,1.4,-,3.1,1.3,1.7,3.1,5.8,7.0,7.4,7.9,7.9,4.9,5.5,4.0,10.9,4.0,,,17,0.3,4.4,2.9
17,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.4,0.8,0.8,2.9,4.8,8.4,16.0,25.5,34.0,50.5,43.9,,,18,0.3,5.8,2.6
18,,Larynx,-,-,-,-,-,-,-,-,-,0.8,4.8,9.9,12.7,12.3,20.1,34.0,20.5,27.9,,,19,0.3,5.4,2.5
19,,Testis,0.7,-,-,2.0,6.3,7.6,5.6,3.5,3.3,1.9,1.0,-,-,0.6,-,-,-,-,,,20,0.2,2.2,2.3
20,,Multiple myeloma,-,-,-,-,-,-,-,-,0.4,1.9,4.2,7.5,8.8,8.6,15.5,17.0,20.5,12.0,,,21,0.2,3.9,1.9
21,,Small intestine,-,-,-,-,-,-,-,0.4,1.3,0.4,2.3,3.1,2.6,6.1,4.6,7.0,5.5,18.0,,,22,0.1,1.9,0.9
22,,Hodgkin lymphoma,-,-,0.7,1.0,0.9,0.4,1.3,2.2,1.7,-,0.6,1.4,0.4,3.1,0.9,1.0,6.8,2.0,,,23,0.1,1.1,0.8
23,,Other endocrine glands,2.9,0.7,0.7,1.5,0.4,0.9,-,-,-,0.4,0.6,-,-,-,0.9,-,1.4,-,,,24,0.0,0.5,0.8
24,,Eye,5.1,-,-,-,-,-,-,-,-,0.4,0.6,0.7,0.4,0.6,-,-,-,-,,,25,0.0,0.4,0.7
25,,Melanoma of skin,-,-,-,-,-,-,-,0.4,2.5,1.2,1.3,0.7,4.4,1.8,1.8,4.0,4.1,6.0,,,26,0.1,1.2,0.7
26,,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,1.0,2.1,1.8,5.5,5.5,8.0,6.8,18.0,,,27,0.1,1.5,0.7
27,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,0.4,1.3,1.2,1.6,1.7,1.8,1.8,4.6,4.0,1.4,4.0,,,28,0.1,1.1,0.6
28,,Thymus / other thoracic organs,0.7,-,-,0.5,-,-,1.3,0.4,0.8,0.8,1.9,2.1,0.4,1.2,0.9,1.0,1.4,-,,,29,0.1,0.8,0.6
29,,Kaposi sarcoma,-,-,-,-,0.4,0.9,0.4,0.4,0.4,0.8,-,-,-,-,-,1.0,-,-,,,30,0.0,0.3,0.2
30,,Breast,-,-,-,-,-,-,-,-,0.4,-,0.3,0.3,0.9,1.2,3.6,3.0,-,2.0,,,31,0.0,0.4,0.2
31,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,-,1.3,-,0.9,5.0,12.3,2.0,,,32,0.0,0.6,0.2
32,,Other and unspecified,2.2,0.7,-,-,0.4,0.4,-,0.9,2.1,2.7,5.8,12.0,13.2,22.7,26.5,61.1,73.7,93.8,,,-,0.4,9.9,4.7
33,,All sites,28.4,14.7,12.7,16.6,23.2,33.5,50.2,87.3,156.9,229.5,355.1,587.1,851.9,"1,292.0","1,675.2","2,026.0","2,339.7","2,289.4",,,-,27.1,451.5,234.5
