,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
22,23,"Vagina, vulva and other female genital",-,-,-,-,-,1,1,2,1,3,5,7,6,3,7,4,6,15,-,61,0.4,,,,
23,24,Small intestine,-,-,-,-,-,-,1,3,2,1,10,8,6,3,2,1,1,5,-,43,0.3,,,,
24,25,Melanoma of skin,-,-,-,-,-,-,1,1,2,3,2,2,3,4,2,5,5,7,-,37,0.3,,,,
25,26,"Nasal cavity, middle ear and accessory sinuses",-,1,-,-,-,-,2,-,2,-,3,3,-,5,1,3,1,-,-,21,0.1,,,,
26,26,Hodgkin lymphoma,-,-,-,1,1,3,5,2,-,1,-,2,2,-,-,1,3,-,-,21,0.1,,,,
27,28,Larynx,-,-,-,-,-,-,-,-,-,-,1,-,4,-,2,2,1,2,-,12,0.1,,,,
28,29,Thymus / other thoracic organs,-,-,-,-,-,1,-,-,2,4,3,-,-,1,-,-,-,-,-,11,0.1,,,,
29,30,Eye,1,1,-,-,1,-,-,-,-,-,-,-,3,1,1,-,-,-,-,8,0.1,,,,
30,31,Other endocrine glands,2,-,-,1,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,6,0.0,,,,
31,32,Mesothelioma,-,-,-,-,-,-,-,1,-,-,-,2,1,-,-,-,1,-,-,5,0.0,,,,
32,33,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2,0.0,,,,
33,-,Other and unspecified,4,-,-,-,1,-,-,4,5,17,13,20,26,21,24,42,63,93,-,333,2.3,,,,
34,-,All sites,29,12,15,30,55,127,298,476,926,"1,380","1,763","1,767","1,639","1,347",934,"1,224","1,195","1,299",1,"14,517",100.0,,,,
0,,Breast,-,-,-,-,0.4,5.5,25.4,49.2,117.0,182.0,183.1,179.1,201.6,210.7,167.8,177.3,152.1,112.9,,,,1,6.6,99.6,60.1
1,,Colorectum,-,0.8,-,0.5,0.4,2.4,3.8,8.5,20.1,31.0,46.0,79.9,103.2,143.3,166.8,258.7,308.5,282.6,,,,2,3.0,54.5,27.0
2,,Lung,-,-,-,-,-,1.0,2.0,3.9,13.3,18.5,40.5,64.2,84.7,121.2,162.9,186.5,249.5,201.2,,,,3,2.6,42.7,21.3
3,,Corpus uteri,-,-,-,-,0.4,-,7.5,9.7,24.2,39.2,68.4,71.2,50.7,43.5,28.5,21.9,17.5,17.7,,,,4,1.7,25.7,15.4
4,,Thyroid gland,-,-,2.2,7.4,8.8,12.0,12.1,19.1,20.7,26.7,28.2,22.1,25.4,19.6,26.5,15.5,12.0,2.9,,,,5,1.2,16.7,11.9
5,,Ovary and peritoneum,-,-,2.2,1.6,6.2,5.5,7.8,10.6,15.1,29.2,33.6,20.1,20.6,20.8,27.5,9.1,17.5,17.7,,,,6,1.0,14.8,9.8
6,,Cervix,-,-,-,-,-,1.4,6.4,12.7,17.1,23.7,15.8,17.0,20.6,19.0,20.6,21.9,20.8,18.6,,,,7,0.8,12.1,7.4
7,,Non-Hodgkin lymphoma,2.3,2.4,0.7,2.1,0.9,2.8,1.4,3.6,4.4,8.2,10.6,16.4,25.4,30.6,38.3,32.9,47.0,32.4,,,,8,0.8,11.0,6.7
8,,Liver,0.8,-,-,-,-,0.7,-,0.6,3.8,3.3,6.9,15.7,20.6,37.4,55.0,67.6,64.6,78.5,,,,9,0.7,12.3,6.0
9,,Stomach,-,-,-,-,-,0.3,0.9,2.4,5.3,8.8,11.8,15.4,26.7,24.5,27.5,53.9,58.0,75.6,,,,10,0.6,12.0,5.8
10,,Non-melanoma skin,-,-,-,-,-,1.0,1.4,3.0,2.7,4.9,7.5,8.7,18.1,19.0,23.6,48.4,73.3,110.9,,,,11,0.4,10.9,4.7
11,,Pancreas,0.8,-,-,-,-,0.3,0.3,1.2,0.9,3.6,5.2,12.0,13.8,27.6,30.4,41.1,38.3,35.3,,,,12,0.5,7.7,4.0
12,,Leukaemia,3.9,1.6,3.0,-,1.8,2.8,1.7,3.9,4.4,4.0,3.7,7.0,9.5,14.1,8.8,18.3,10.9,16.7,,,,13,0.4,5.3,3.9
13,,Nasopharynx,-,-,-,-,0.4,3.1,3.8,5.2,8.0,8.2,10.3,10.4,9.9,8.0,5.9,4.6,5.5,6.9,,,,14,0.4,5.7,3.6
14,,Kidney and other urinary organs except bladder,1.6,0.8,-,-,0.4,0.7,1.2,1.2,2.1,5.2,4.9,7.4,14.2,14.1,14.7,15.5,23.0,18.6,,,,15,0.3,5.3,3.1
15,,"Lip, oral cavity and pharynx except nasopharynx",-,-,0.7,-,0.9,0.7,2.9,1.5,1.8,6.1,6.9,9.7,8.2,10.4,13.7,15.5,14.2,29.4,,,,16,0.3,5.4,2.9
16,,Bone and soft tissue,1.6,0.8,1.5,1.6,2.2,1.0,2.6,1.8,3.5,3.0,3.4,4.7,6.0,8.0,7.9,3.7,5.5,3.9,,,,17,0.2,3.3,2.5
17,,Brain and other central nervous system,6.2,1.6,0.7,1.6,-,0.7,1.4,0.9,2.7,1.5,2.6,4.0,4.3,3.7,9.8,2.7,3.3,1.0,,,,18,0.2,2.4,2.4
18,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.3,1.2,0.9,2.3,3.7,8.2,13.5,13.7,27.4,42.7,47.1,,,,19,0.2,5.1,2.1
19,,Multiple myeloma,-,-,-,-,-,-,0.3,0.3,-,1.5,2.3,4.0,6.4,4.3,14.7,18.3,9.8,8.8,,,,20,0.2,2.6,1.4
20,,Bladder,-,-,-,-,-,-,-,0.3,0.6,0.3,1.4,1.3,2.1,4.3,3.9,13.7,28.4,20.6,,,,21,0.1,2.3,0.9
21,,Oesophagus,-,-,-,-,-,-,0.3,-,0.6,0.6,0.3,1.7,2.1,4.3,9.8,11.0,16.4,14.7,,,,22,0.1,1.9,0.8
22,,"Vagina, vulva and other female genital",-,-,-,-,-,0.3,0.3,0.6,0.3,0.9,1.4,2.3,2.6,1.8,6.9,3.7,6.6,14.7,,,,23,0.1,1.6,0.8
23,,Small intestine,-,-,-,-,-,-,0.3,0.9,0.6,0.3,2.9,2.7,2.6,1.8,2.0,0.9,1.1,4.9,,,,24,0.1,1.1,0.6
24,,Melanoma of skin,-,-,-,-,-,-,0.3,0.3,0.6,0.9,0.6,0.7,1.3,2.4,2.0,4.6,5.5,6.9,,,,25,0.0,1.0,0.5
25,,Hodgkin lymphoma,-,-,-,0.5,0.4,1.0,1.4,0.6,-,0.3,-,0.7,0.9,-,-,0.9,3.3,-,,,,26,0.0,0.5,0.4
26,,"Nasal cavity, middle ear and accessory sinuses",-,0.8,-,-,-,-,0.6,-,0.6,-,0.9,1.0,-,3.1,1.0,2.7,1.1,-,,,,27,0.0,0.5,0.4
27,,Eye,0.8,0.8,-,-,0.4,-,-,-,-,-,-,-,1.3,0.6,1.0,-,-,-,,,,28,0.0,0.2,0.3
28,,Other endocrine glands,1.6,-,-,0.5,-,-,-,0.3,-,-,-,0.3,0.4,-,-,-,-,-,,,,29,0.0,0.2,0.3
29,,Thymus / other thoracic organs,-,-,-,-,-,0.3,-,-,0.6,1.2,0.9,-,-,0.6,-,-,-,-,,,,30,0.0,0.3,0.2
30,,Larynx,-,-,-,-,-,-,-,-,-,-,0.3,-,1.7,-,2.0,1.8,1.1,2.0,,,,31,0.0,0.3,0.2
31,,Mesothelioma,-,-,-,-,-,-,-,0.3,-,-,-,0.7,0.4,-,-,-,1.1,-,,,,32,0.0,0.1,0.1
32,,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,1.0,,,,33,0.0,0.1,0.0
33,,Other and unspecified,3.1,-,-,-,0.4,-,-,1.2,1.5,5.2,3.7,6.7,11.2,12.9,23.6,38.4,68.9,91.3,,,,-,0.3,8.6,3.8
34,,All sites,22.6,9.5,11.2,16.0,24.2,43.7,86.1,144.5,273.6,419.3,506.8,590.6,704.6,824.9,916.6,"1,118.8","1,307.4","1,274.8",,,,-,23.0,373.7,211.3
